/B<7> (Design_Point=1) X,/B<7> (Design_Point=1) Y,/B<6> (Design_Point=1) X,/B<6> (Design_Point=1) Y,/B<5> (Design_Point=1) X,/B<5> (Design_Point=1) Y,/B<4> (Design_Point=1) X,/B<4> (Design_Point=1) Y,/B<3> (Design_Point=1) X,/B<3> (Design_Point=1) Y,/B<2> (Design_Point=1) X,/B<2> (Design_Point=1) Y,/B<1> (Design_Point=1) X,/B<1> (Design_Point=1) Y,/B<0> (Design_Point=1) X,/B<0> (Design_Point=1) Y,/VOUT (Design_Point=1) X,/VOUT (Design_Point=1) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.039950469534582e-07
2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,1.837234254566787e-07
3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,-6.29583152278866e-07
3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,-1.926687692526131e-06
4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,0.496875,4.140625e-10,-3.415689482463961e-06
4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,0.553125,4.609375e-10,-1.060891400832731e-05
4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,0.5695209425478305,4.746007854565254e-10,-1.426662814862166e-05
5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,0.6023128276434913,5.019273563695761e-10,1.460781733032121e-06
5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.6187831211168537,5.156526009307115e-10,0.0001020183847642012
5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.647239973673393,5.393666447278276e-10,0.001000590680882797
