/B<7> (vref=1.2) X,/B<7> (vref=1.2) Y,/B<6> (vref=1.2) X,/B<6> (vref=1.2) Y,/B<5> (vref=1.2) X,/B<5> (vref=1.2) Y,/B<4> (vref=1.2) X,/B<4> (vref=1.2) Y,/B<3> (vref=1.2) X,/B<3> (vref=1.2) Y,/B<2> (vref=1.2) X,/B<2> (vref=1.2) Y,/B<1> (vref=1.2) X,/B<1> (vref=1.2) Y,/VOUT (vref=1.2) X,/VOUT (vref=1.2) Y,/net10 (vref=1.2) X,/net10 (vref=1.2) Y,/B<0> (vref=1.2) X,/B<0> (vref=1.2) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.391070323434037e-07,0,1.2,0,0
2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,2.533915096304025e-07,2.5e-10,1.2,2.5e-10,0.3
3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,-7.593601643066705e-08,3.4375e-10,1.2,3.4375e-10,0.4125
3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,-4.804486298162528e-07,3.90625e-10,1.2,3.90625e-10,0.4687500000000001
4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,-4.646553568843282e-06,4.84375e-10,1.2,4.84375e-10,0.5812499999999999
5.853381839679221e-10,0.7024058207615065,5.853381839679221e-10,0.7024058207615065,5.853381839679221e-10,0.7024058207615065,5.853381839679221e-10,0.7024058207615065,5.853381839679221e-10,0.7024058207615065,5.853381839679221e-10,0.7024058207615065,5.853381839679221e-10,0.7024058207615065,5.853381839679221e-10,0.0001234767668542075,5.853381839679221e-10,1.2,5.853381839679221e-10,0.7024058207615065
6.089037462713889e-10,0.7306844955256666,6.089037462713889e-10,0.7306844955256666,6.089037462713889e-10,0.7306844955256666,6.089037462713889e-10,0.7306844955256666,6.089037462713889e-10,0.7306844955256666,6.089037462713889e-10,0.7306844955256666,6.089037462713889e-10,0.7306844955256666,6.089037462713889e-10,0.000480539102645811,6.089037462713889e-10,1.2,6.089037462713889e-10,0.7306844955256666
6.519807219927688e-10,0.7823768663913225,6.519807219927688e-10,0.7823768663913225,6.519807219927688e-10,0.7823768663913225,6.519807219927688e-10,0.7823768663913225,6.519807219927688e-10,0.7823768663913225,6.519807219927688e-10,0.7823768663913225,6.519807219927688e-10,0.7823768663913225,6.519807219927688e-10,0.002215295407802223,6.519807219927688e-10,1.2,6.519807219927688e-10,0.7823768663913225
6.587348428491035e-10,0.7904818114189242,6.587348428491035e-10,0.7904818114189242,6.587348428491035e-10,0.7904818114189242,6.587348428491035e-10,0.7904818114189242,6.587348428491035e-10,0.7904818114189242,6.587348428491035e-10,0.7904818114189242,6.587348428491035e-10,0.7904818114189242,6.587348428491035e-10,0.002654286060087953,6.587348428491035e-10,1.2,6.587348428491035e-10,0.7904818114189242
6.722430845617728e-10,0.8066917014741273,6.722430845617728e-10,0.8066917014741273,6.722430845617728e-10,0.8066917014741273,6.722430845617728e-10,0.8066917014741273,6.722430845617728e-10,0.8066917014741273,6.722430845617728e-10,0.8066917014741273,6.722430845617728e-10,0.8066917014741273,6.722430845617728e-10,0.003604144381481192,6.722430845617728e-10,1.2,6.722430845617728e-10,0.8066917014741273
6.87283866141468e-10,0.8247406393697615,6.87283866141468e-10,0.8247406393697615,6.87283866141468e-10,0.8247406393697615,6.87283866141468e-10,0.8247406393697615,6.87283866141468e-10,0.8247406393697615,6.87283866141468e-10,0.8247406393697615,6.87283866141468e-10,0.8247406393697615,6.87283866141468e-10,0.004692660299943301,6.87283866141468e-10,1.2,6.87283866141468e-10,0.8247406393697615
7.021127786451075e-10,0.8425353343741289,7.021127786451075e-10,0.8425353343741289,7.021127786451075e-10,0.8425353343741289,7.021127786451075e-10,0.8425353343741289,7.021127786451075e-10,0.8425353343741289,7.021127786451075e-10,0.8425353343741289,7.021127786451075e-10,0.8425353343741289,7.021127786451075e-10,0.005782058595513307,7.021127786451075e-10,1.2,7.021127786451075e-10,0.8425353343741289
7.217674447652277e-10,0.8661209337182731,7.217674447652277e-10,0.8661209337182731,7.217674447652277e-10,0.8661209337182731,7.217674447652277e-10,0.8661209337182731,7.217674447652277e-10,0.8661209337182731,7.217674447652277e-10,0.8661209337182731,7.217674447652277e-10,0.8661209337182731,7.217674447652277e-10,0.007230140570548499,7.217674447652277e-10,1.2,7.217674447652277e-10,0.8661209337182731
7.408211769938007e-10,0.8889854123925607,7.408211769938007e-10,0.8889854123925607,7.408211769938007e-10,0.8889854123925607,7.408211769938007e-10,0.8889854123925607,7.408211769938007e-10,0.8889854123925607,7.408211769938007e-10,0.8889854123925607,7.408211769938007e-10,0.8889854123925607,7.408211769938007e-10,0.008637844545932529,7.408211769938007e-10,1.2,7.408211769938007e-10,0.8889854123925607
7.594638772175369e-10,0.9113566526610442,7.594638772175369e-10,0.9113566526610442,7.594638772175369e-10,0.9113566526610442,7.594638772175369e-10,0.9113566526610442,7.594638772175369e-10,0.9113566526610442,7.594638772175369e-10,0.9113566526610442,7.594638772175369e-10,0.9113566526610442,7.594638772175369e-10,0.01001586972826387,7.594638772175369e-10,1.2,7.594638772175369e-10,0.9113566526610442
7.837958507709666e-10,0.9405550209251597,7.837958507709666e-10,0.9405550209251597,7.837958507709666e-10,0.9405550209251597,7.837958507709666e-10,0.9405550209251597,7.837958507709666e-10,0.9405550209251597,7.837958507709666e-10,0.9405550209251597,7.837958507709666e-10,0.9405550209251597,7.837958507709666e-10,0.01181342105202427,7.837958507709666e-10,1.2,7.837958507709666e-10,0.9405550209251597
8.17327551193502e-10,0.9807930614322025,8.17327551193502e-10,0.9807930614322025,8.17327551193502e-10,0.9807930614322025,8.17327551193502e-10,0.9807930614322025,8.17327551193502e-10,0.9807930614322025,8.17327551193502e-10,0.9807930614322025,8.17327551193502e-10,0.9807930614322025,8.17327551193502e-10,0.01428620099669855,8.17327551193502e-10,1.2,8.17327551193502e-10,0.9807930614322025
8.606036570557e-10,1.03272438846684,8.606036570557e-10,1.03272438846684,8.606036570557e-10,1.03272438846684,8.606036570557e-10,1.03272438846684,8.606036570557e-10,1.03272438846684,8.606036570557e-10,1.03272438846684,8.606036570557e-10,1.03272438846684,8.606036570557e-10,0.01747002088535778,8.606036570557e-10,1.2,8.606036570557e-10,1.03272438846684
