/B<7> (vref=1.2) X,/B<7> (vref=1.2) Y,/B<6> (vref=1.2) X,/B<6> (vref=1.2) Y,/B<5> (vref=1.2) X,/B<5> (vref=1.2) Y,/B<4> (vref=1.2) X,/B<4> (vref=1.2) Y,/B<3> (vref=1.2) X,/B<3> (vref=1.2) Y,/B<1> (vref=1.2) X,/B<1> (vref=1.2) Y,/B<0> (vref=1.2) X,/B<0> (vref=1.2) Y,/VOUT (vref=1.2) X,/VOUT (vref=1.2) Y,/net10 (vref=1.2) X,/net10 (vref=1.2) Y,/B<2> (vref=1.2) X,/B<2> (vref=1.2) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.391037269613154e-07,0,1.2,0,0
2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,0.3,2.5e-10,2.463040044672062e-07,2.5e-10,1.2,2.5e-10,0.3
3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,0.4125,3.4375e-10,8.111934506619402e-08,3.4375e-10,1.2,3.4375e-10,0.4125
3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,0.4687500000000001,3.90625e-10,-1.215902044199518e-07,3.90625e-10,1.2,3.90625e-10,0.4687500000000001
4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,0.5812499999999999,4.84375e-10,-2.210129873947042e-06,4.84375e-10,1.2,4.84375e-10,0.5812499999999999
5.85338179173503e-10,0.7024058150082035,5.85338179173503e-10,0.7024058150082035,5.85338179173503e-10,0.7024058150082035,5.85338179173503e-10,0.7024058150082035,5.85338179173503e-10,0.7024058150082035,5.85338179173503e-10,0.7024058150082035,5.85338179173503e-10,0.7024058150082035,5.85338179173503e-10,6.204745496953734e-05,5.85338179173503e-10,1.2,5.85338179173503e-10,0.7024058150082035
6.089058014588427e-10,0.7306869617506112,6.089058014588427e-10,0.7306869617506112,6.089058014588427e-10,0.7306869617506112,6.089058014588427e-10,0.7306869617506112,6.089058014588427e-10,0.7306869617506112,6.089058014588427e-10,0.7306869617506112,6.089058014588427e-10,0.7306869617506112,6.089058014588427e-10,0.0002413831135755486,6.089058014588427e-10,1.2,6.089058014588427e-10,0.7306869617506112
6.51965967997607e-10,0.7823591615971283,6.51965967997607e-10,0.7823591615971283,6.51965967997607e-10,0.7823591615971283,6.51965967997607e-10,0.7823591615971283,6.51965967997607e-10,0.7823591615971283,6.51965967997607e-10,0.7823591615971283,6.51965967997607e-10,0.7823591615971283,6.51965967997607e-10,0.001112029318784047,6.51965967997607e-10,1.2,6.51965967997607e-10,0.7823591615971283
6.587177803839106e-10,0.7904613364606926,6.587177803839106e-10,0.7904613364606926,6.587177803839106e-10,0.7904613364606926,6.587177803839106e-10,0.7904613364606926,6.587177803839106e-10,0.7904613364606926,6.587177803839106e-10,0.7904613364606926,6.587177803839106e-10,0.7904613364606926,6.587177803839106e-10,0.001332275468704347,6.587177803839106e-10,1.2,6.587177803839106e-10,0.7904613364606926
6.722214051565177e-10,0.8066656861878212,6.722214051565177e-10,0.8066656861878212,6.722214051565177e-10,0.8066656861878212,6.722214051565177e-10,0.8066656861878212,6.722214051565177e-10,0.8066656861878212,6.722214051565177e-10,0.8066656861878212,6.722214051565177e-10,0.8066656861878212,6.722214051565177e-10,0.001808725173724827,6.722214051565177e-10,1.2,6.722214051565177e-10,0.8066656861878212
6.872733468426273e-10,0.8247280162111527,6.872733468426273e-10,0.8247280162111527,6.872733468426273e-10,0.8247280162111527,6.872733468426273e-10,0.8247280162111527,6.872733468426273e-10,0.8247280162111527,6.872733468426273e-10,0.8247280162111527,6.872733468426273e-10,0.8247280162111527,6.872733468426273e-10,0.002355316677965649,6.872733468426273e-10,1.2,6.872733468426273e-10,0.8247280162111527
7.020950079696888e-10,0.8425140095636265,7.020950079696888e-10,0.8425140095636265,7.020950079696888e-10,0.8425140095636265,7.020950079696888e-10,0.8425140095636265,7.020950079696888e-10,0.8425140095636265,7.020950079696888e-10,0.8425140095636265,7.020950079696888e-10,0.8425140095636265,7.020950079696888e-10,0.002901736731867111,7.020950079696888e-10,1.2,7.020950079696888e-10,0.8425140095636265
7.218867734266656e-10,0.8662641281119987,7.218867734266656e-10,0.8662641281119987,7.218867734266656e-10,0.8662641281119987,7.218867734266656e-10,0.8662641281119987,7.218867734266656e-10,0.8662641281119987,7.218867734266656e-10,0.8662641281119987,7.218867734266656e-10,0.8662641281119987,7.218867734266656e-10,0.003633773117593627,7.218867734266656e-10,1.2,7.218867734266656e-10,0.8662641281119987
7.409375792743139e-10,0.8891250951291766,7.409375792743139e-10,0.8891250951291766,7.409375792743139e-10,0.8891250951291766,7.409375792743139e-10,0.8891250951291766,7.409375792743139e-10,0.8891250951291766,7.409375792743139e-10,0.8891250951291766,7.409375792743139e-10,0.8891250951291766,7.409375792743139e-10,0.004340714939912105,7.409375792743139e-10,1.2,7.409375792743139e-10,0.8891250951291766
7.595225537926655e-10,0.9114270645511985,7.595225537926655e-10,0.9114270645511985,7.595225537926655e-10,0.9114270645511985,7.595225537926655e-10,0.9114270645511985,7.595225537926655e-10,0.9114270645511985,7.595225537926655e-10,0.9114270645511985,7.595225537926655e-10,0.9114270645511985,7.595225537926655e-10,0.005031102773394047,7.595225537926655e-10,1.2,7.595225537926655e-10,0.9114270645511985
7.838568183061088e-10,0.9406281819673303,7.838568183061088e-10,0.9406281819673303,7.838568183061088e-10,0.9406281819673303,7.838568183061088e-10,0.9406281819673303,7.838568183061088e-10,0.9406281819673303,7.838568183061088e-10,0.9406281819673303,7.838568183061088e-10,0.9406281819673303,7.838568183061088e-10,0.005935143771088499,7.838568183061088e-10,1.2,7.838568183061088e-10,0.9406281819673303
8.174729879237142e-10,0.980967585508457,8.174729879237142e-10,0.980967585508457,8.174729879237142e-10,0.980967585508457,8.174729879237142e-10,0.980967585508457,8.174729879237142e-10,0.980967585508457,8.174729879237142e-10,0.980967585508457,8.174729879237142e-10,0.980967585508457,8.174729879237142e-10,0.007182911634896058,8.174729879237142e-10,1.2,8.174729879237142e-10,0.980967585508457
8.607548727650176e-10,1.032905847318021,8.607548727650176e-10,1.032905847318021,8.607548727650176e-10,1.032905847318021,8.607548727650176e-10,1.032905847318021,8.607548727650176e-10,1.032905847318021,8.607548727650176e-10,1.032905847318021,8.607548727650176e-10,1.032905847318021,8.607548727650176e-10,0.008787563894713949,8.607548727650176e-10,1.2,8.607548727650176e-10,1.032905847318021
9.029937122520704e-10,1.083592454702484,9.029937122520704e-10,1.083592454702484,9.029937122520704e-10,1.083592454702484,9.029937122520704e-10,1.083592454702484,9.029937122520704e-10,1.083592454702484,9.029937122520704e-10,1.083592454702484,9.029937122520704e-10,1.083592454702484,9.029937122520704e-10,0.01035145615217265,9.029937122520704e-10,1.2,9.029937122520704e-10,1.083592454702484
9.611677141167026e-10,1.153401256940043,9.611677141167026e-10,1.153401256940043,9.611677141167026e-10,1.153401256940043,9.611677141167026e-10,1.153401256940043,9.611677141167026e-10,1.153401256940043,9.611677141167026e-10,1.153401256940043,9.611677141167026e-10,1.153401256940043,9.611677141167026e-10,0.01250197130844897,9.611677141167026e-10,1.2,9.611677141167026e-10,1.153401256940043
1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,1.2,1e-09,0.01393531136301009,1e-09,1.2,1e-09,1.2
1.077664571766595e-09,1.2,1.077664571766595e-09,1.2,1.077664571766595e-09,1.2,1.077664571766595e-09,1.2,1.077664571766595e-09,1.2,1.077664571766595e-09,1.2,1.077664571766595e-09,1.2,1.077664571766595e-09,0.01679330382706036,1.077664571766595e-09,1.2,1.077664571766595e-09,1.2
1.156438958467022e-09,1.2,1.156438958467022e-09,1.2,1.156438958467022e-09,1.2,1.156438958467022e-09,1.2,1.156438958467022e-09,1.2,1.156438958467022e-09,1.2,1.156438958467022e-09,1.2,1.156438958467022e-09,0.01968859155922785,1.156438958467022e-09,1.2,1.156438958467022e-09,1.2
1.22148252512468e-09,1.2,1.22148252512468e-09,1.2,1.22148252512468e-09,1.2,1.22148252512468e-09,1.2,1.22148252512468e-09,1.2,1.22148252512468e-09,1.2,1.22148252512468e-09,1.2,1.22148252512468e-09,0.02207386037768521,1.22148252512468e-09,1.2,1.22148252512468e-09,1.2
1.351569658439995e-09,1.2,1.351569658439995e-09,1.2,1.351569658439995e-09,1.2,1.351569658439995e-09,1.2,1.351569658439995e-09,1.2,1.351569658439995e-09,1.2,1.351569658439995e-09,1.2,1.351569658439995e-09,0.02682988829777649,1.351569658439995e-09,1.2,1.351569658439995e-09,1.2
1.611743925070625e-09,1.2,1.611743925070625e-09,1.2,1.611743925070625e-09,1.2,1.611743925070625e-09,1.2,1.611743925070625e-09,1.2,1.611743925070625e-09,1.2,1.611743925070625e-09,1.2,1.611743925070625e-09,0.03628426428429807,1.611743925070625e-09,1.2,1.611743925070625e-09,1.2
2.132092458331886e-09,1.2,2.132092458331886e-09,1.2,2.132092458331886e-09,1.2,2.132092458331886e-09,1.2,2.132092458331886e-09,1.2,2.132092458331886e-09,1.2,2.132092458331886e-09,1.2,2.132092458331886e-09,0.05496435525593753,2.132092458331886e-09,1.2,2.132092458331886e-09,1.2
3.172789524854408e-09,1.2,3.172789524854408e-09,1.2,3.172789524854408e-09,1.2,3.172789524854408e-09,1.2,3.172789524854408e-09,1.2,3.172789524854408e-09,1.2,3.172789524854408e-09,1.2,3.172789524854408e-09,0.09143139532031822,3.172789524854408e-09,1.2,3.172789524854408e-09,1.2
5.254183657899451e-09,1.2,5.254183657899451e-09,1.2,5.254183657899451e-09,1.2,5.254183657899451e-09,1.2,5.254183657899451e-09,1.2,5.254183657899451e-09,1.2,5.254183657899451e-09,1.2,5.254183657899451e-09,0.160916591989767,5.254183657899451e-09,1.2,5.254183657899451e-09,1.2
9.416971923989538e-09,1.2,9.416971923989538e-09,1.2,9.416971923989538e-09,1.2,9.416971923989538e-09,1.2,9.416971923989538e-09,1.2,9.416971923989538e-09,1.2,9.416971923989538e-09,1.2,9.416971923989538e-09,0.2873190192234852,9.416971923989538e-09,1.2,9.416971923989538e-09,1.2
1.774254845616971e-08,1.2,1.774254845616971e-08,1.2,1.774254845616971e-08,1.2,1.774254845616971e-08,1.2,1.774254845616971e-08,1.2,1.774254845616971e-08,1.2,1.774254845616971e-08,1.2,1.774254845616971e-08,0.4962132364657595,1.774254845616971e-08,1.2,1.774254845616971e-08,1.2
3.434531984135124e-08,1.2,3.434531984135124e-08,1.2,3.434531984135124e-08,1.2,3.434531984135124e-08,1.2,3.434531984135124e-08,1.2,3.434531984135124e-08,1.2,3.434531984135124e-08,1.2,3.434531984135124e-08,0.7891342747648716,3.434531984135124e-08,1.2,3.434531984135124e-08,1.2
5.327863580997611e-08,1.2,5.327863580997611e-08,1.2,5.327863580997611e-08,1.2,5.327863580997611e-08,1.2,5.327863580997611e-08,1.2,5.327863580997611e-08,1.2,5.327863580997611e-08,1.2,5.327863580997611e-08,0.9744707789344516,5.327863580997611e-08,1.2,5.327863580997611e-08,1.2
7.381753013965003e-08,1.2,7.381753013965003e-08,1.2,7.381753013965003e-08,1.2,7.381753013965003e-08,1.2,7.381753013965003e-08,1.2,7.381753013965003e-08,1.2,7.381753013965003e-08,1.2,7.381753013965003e-08,1.088380735809527,7.381753013965003e-08,1.2,7.381753013965003e-08,1.2
9.805532296985099e-08,1.2,9.805532296985099e-08,1.2,9.805532296985099e-08,1.2,9.805532296985099e-08,1.2,9.805532296985099e-08,1.2,9.805532296985099e-08,1.2,9.805532296985099e-08,1.2,9.805532296985099e-08,1.147081333204498,9.805532296985099e-08,1.2,9.805532296985099e-08,1.2
1.278157548365986e-07,1.2,1.278157548365986e-07,1.2,1.278157548365986e-07,1.2,1.278157548365986e-07,1.2,1.278157548365986e-07,1.2,1.278157548365986e-07,1.2,1.278157548365986e-07,1.2,1.278157548365986e-07,1.18115774809153,1.278157548365986e-07,1.2,1.278157548365986e-07,1.2
1.637967496498755e-07,1.2,1.637967496498755e-07,1.2,1.637967496498755e-07,1.2,1.637967496498755e-07,1.2,1.637967496498755e-07,1.2,1.637967496498755e-07,1.2,1.637967496498755e-07,1.2,1.637967496498755e-07,1.19132499863702,1.637967496498755e-07,1.2,1.637967496498755e-07,1.2
2.150777623820906e-07,1.2,2.150777623820906e-07,1.2,2.150777623820906e-07,1.2,2.150777623820906e-07,1.2,2.150777623820906e-07,1.2,2.150777623820906e-07,1.2,2.150777623820906e-07,1.2,2.150777623820906e-07,1.195986657763304,2.150777623820906e-07,1.2,2.150777623820906e-07,1.2
2.826732931447407e-07,1.2,2.826732931447407e-07,1.2,2.826732931447407e-07,1.2,2.826732931447407e-07,1.2,2.826732931447407e-07,1.2,2.826732931447407e-07,1.2,2.826732931447407e-07,1.2,2.826732931447407e-07,1.195271935684734,2.826732931447407e-07,1.2,2.826732931447407e-07,1.2
4.063186819481241e-07,1.2,4.063186819481241e-07,1.2,4.063186819481241e-07,1.2,4.063186819481241e-07,1.2,4.063186819481241e-07,1.2,4.063186819481241e-07,1.2,4.063186819481241e-07,1.2,4.063186819481241e-07,1.195131582524986,4.063186819481241e-07,1.2,4.063186819481241e-07,1.2
6.04147459336331e-07,1.2,6.04147459336331e-07,1.2,6.04147459336331e-07,1.2,6.04147459336331e-07,1.2,6.04147459336331e-07,1.2,6.04147459336331e-07,1.2,6.04147459336331e-07,1.2,6.04147459336331e-07,1.195371924381541,6.04147459336331e-07,1.2,6.04147459336331e-07,1.2
8.025737296681655e-07,1.2,8.025737296681655e-07,1.2,8.025737296681655e-07,1.2,8.025737296681655e-07,1.2,8.025737296681655e-07,1.2,8.025737296681655e-07,1.2,8.025737296681655e-07,1.2,8.025737296681655e-07,1.195322185628348,8.025737296681655e-07,1.2,8.025737296681655e-07,1.2
1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.2,1.001e-06,1.195274513372574,1.001e-06,1.2,1.001e-06,1.2
1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,1.2,1.00125e-06,0.9000000000001045,1.00125e-06,1.195274638344425,1.00125e-06,1.2,1.00125e-06,1.2
1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,1.2,1.00134375e-06,0.787500000000112,1.00134375e-06,1.195274685560725,1.00134375e-06,1.2,1.00134375e-06,1.2
1.00153125e-06,1.2,1.00153125e-06,1.2,1.00153125e-06,1.2,1.00153125e-06,1.2,1.00153125e-06,1.2,1.00153125e-06,1.2,1.00153125e-06,0.5625000000001268,1.00153125e-06,1.195274794413974,1.00153125e-06,1.2,1.00153125e-06,1.2
1.001584558974177e-06,1.2,1.001584558974177e-06,1.2,1.001584558974177e-06,1.2,1.001584558974177e-06,1.2,1.001584558974177e-06,1.2,1.001584558974177e-06,1.2,1.001584558974177e-06,0.4985292309873782,1.001584558974177e-06,1.195274833361694,1.001584558974177e-06,1.2,1.001584558974177e-06,1.2
1.001687668925211e-06,1.2,1.001687668925211e-06,1.2,1.001687668925211e-06,1.2,1.001687668925211e-06,1.2,1.001687668925211e-06,1.2,1.001687668925211e-06,1.2,1.001687668925211e-06,0.3747972897466524,1.001687668925211e-06,1.195274839350153,1.001687668925211e-06,1.2,1.001687668925211e-06,1.2
1.001723908838008e-06,1.2,1.001723908838008e-06,1.2,1.001723908838008e-06,1.2,1.001723908838008e-06,1.2,1.001723908838008e-06,1.2,1.001723908838008e-06,1.2,1.001723908838008e-06,0.331309394390169,1.001723908838008e-06,1.195274707727422,1.001723908838008e-06,1.2,1.001723908838008e-06,1.2
1.001761517666366e-06,1.2,1.001761517666366e-06,1.2,1.001761517666366e-06,1.2,1.001761517666366e-06,1.2,1.001761517666366e-06,1.2,1.001761517666366e-06,1.2,1.001761517666366e-06,0.2861788003607765,1.001761517666366e-06,1.195273731691056,1.001761517666366e-06,1.2,1.001761517666366e-06,1.2
1.001805523922797e-06,1.2,1.001805523922797e-06,1.2,1.001805523922797e-06,1.2,1.001805523922797e-06,1.2,1.001805523922797e-06,1.2,1.001805523922797e-06,1.2,1.001805523922797e-06,0.2333712926434041,1.001805523922797e-06,1.195270709528272,1.001805523922797e-06,1.2,1.001805523922797e-06,1.2
1.00182079054272e-06,1.2,1.00182079054272e-06,1.2,1.00182079054272e-06,1.2,1.00182079054272e-06,1.2,1.00182079054272e-06,1.2,1.00182079054272e-06,1.2,1.00182079054272e-06,0.2150513487360799,1.00182079054272e-06,1.195269010206439,1.00182079054272e-06,1.2,1.00182079054272e-06,1.2
1.001851323782566e-06,1.2,1.001851323782566e-06,1.2,1.001851323782566e-06,1.2,1.001851323782566e-06,1.2,1.001851323782566e-06,1.2,1.001851323782566e-06,1.2,1.001851323782566e-06,0.1784114609214313,1.001851323782566e-06,1.195264950610942,1.001851323782566e-06,1.2,1.001851323782566e-06,1.2
1.001874437231794e-06,1.2,1.001874437231794e-06,1.2,1.001874437231794e-06,1.2,1.001874437231794e-06,1.2,1.001874437231794e-06,1.2,1.001874437231794e-06,1.2,1.001874437231794e-06,0.1506753218477845,1.001874437231794e-06,1.195261674206678,1.001874437231794e-06,1.2,1.001874437231794e-06,1.2
1.00188350078835e-06,1.2,1.00188350078835e-06,1.2,1.00188350078835e-06,1.2,1.00188350078835e-06,1.2,1.00188350078835e-06,1.2,1.00188350078835e-06,1.2,1.00188350078835e-06,0.139799053980495,1.00188350078835e-06,1.195260355337214,1.00188350078835e-06,1.2,1.00188350078835e-06,1.2
1.001901627901462e-06,1.2,1.001901627901462e-06,1.2,1.001901627901462e-06,1.2,1.001901627901462e-06,1.2,1.001901627901462e-06,1.2,1.001901627901462e-06,1.2,1.001901627901462e-06,0.1180465182459163,1.001901627901462e-06,1.195257716851204,1.001901627901462e-06,1.2,1.001901627901462e-06,1.2
1.001937882127686e-06,1.2,1.001937882127686e-06,1.2,1.001937882127686e-06,1.2,1.001937882127686e-06,1.2,1.001937882127686e-06,1.2,1.001937882127686e-06,1.2,1.001937882127686e-06,0.07454144677675822,1.001937882127686e-06,1.195252438962995,1.001937882127686e-06,1.2,1.001937882127686e-06,1.2
1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,1.2,1.002e-06,0,1.002e-06,1.195243401828806,1.002e-06,1.2,1.002e-06,1.2
1.002074571494216e-06,1.2,1.002074571494216e-06,1.2,1.002074571494216e-06,1.2,1.002074571494216e-06,1.2,1.002074571494216e-06,1.2,1.002074571494216e-06,1.2,1.002074571494216e-06,0,1.002074571494216e-06,1.195232581491551,1.002074571494216e-06,1.2,1.002074571494216e-06,1.2
1.002157423787016e-06,1.2,1.002157423787016e-06,1.2,1.002157423787016e-06,1.2,1.002157423787016e-06,1.2,1.002157423787016e-06,1.2,1.002157423787016e-06,1.2,1.002157423787016e-06,0,1.002157423787016e-06,1.195220574713523,1.002157423787016e-06,1.2,1.002157423787016e-06,1.2
1.002229854052717e-06,1.2,1.002229854052717e-06,1.2,1.002229854052717e-06,1.2,1.002229854052717e-06,1.2,1.002229854052717e-06,1.2,1.002229854052717e-06,1.2,1.002229854052717e-06,0,1.002229854052717e-06,1.195210103158669,1.002229854052717e-06,1.2,1.002229854052717e-06,1.2
1.002374714584118e-06,1.2,1.002374714584118e-06,1.2,1.002374714584118e-06,1.2,1.002374714584118e-06,1.2,1.002374714584118e-06,1.2,1.002374714584118e-06,1.2,1.002374714584118e-06,0,1.002374714584118e-06,1.195189230561687,1.002374714584118e-06,1.2,1.002374714584118e-06,1.2
1.002599306339426e-06,1.2,1.002599306339426e-06,1.2,1.002599306339426e-06,1.2,1.002599306339426e-06,1.2,1.002599306339426e-06,1.2,1.002599306339426e-06,1.2,1.002599306339426e-06,0,1.002599306339426e-06,1.195157055560335,1.002599306339426e-06,1.2,1.002599306339426e-06,1.2
1.003008910352383e-06,1.2,1.003008910352383e-06,1.2,1.003008910352383e-06,1.2,1.003008910352383e-06,1.2,1.003008910352383e-06,1.2,1.003008910352383e-06,1.2,1.003008910352383e-06,0,1.003008910352383e-06,1.195098953444161,1.003008910352383e-06,1.2,1.003008910352383e-06,1.2
1.003828118378296e-06,1.2,1.003828118378296e-06,1.2,1.003828118378296e-06,1.2,1.003828118378296e-06,1.2,1.003828118378296e-06,1.2,1.003828118378296e-06,1.2,1.003828118378296e-06,0,1.003828118378296e-06,1.194984944934293,1.003828118378296e-06,1.2,1.003828118378296e-06,1.2
1.005466534430122e-06,1.2,1.005466534430122e-06,1.2,1.005466534430122e-06,1.2,1.005466534430122e-06,1.2,1.005466534430122e-06,1.2,1.005466534430122e-06,1.2,1.005466534430122e-06,0,1.005466534430122e-06,1.194765469811268,1.005466534430122e-06,1.2,1.005466534430122e-06,1.2
1.008743366533775e-06,1.2,1.008743366533775e-06,1.2,1.008743366533775e-06,1.2,1.008743366533775e-06,1.2,1.008743366533775e-06,1.2,1.008743366533775e-06,1.2,1.008743366533775e-06,0,1.008743366533775e-06,1.194358256707948,1.008743366533775e-06,1.2,1.008743366533775e-06,1.2
1.01529703074108e-06,1.2,1.01529703074108e-06,1.2,1.01529703074108e-06,1.2,1.01529703074108e-06,1.2,1.01529703074108e-06,1.2,1.01529703074108e-06,1.2,1.01529703074108e-06,0,1.01529703074108e-06,1.193657816843733,1.01529703074108e-06,1.2,1.01529703074108e-06,1.2
1.02840435915569e-06,1.2,1.02840435915569e-06,1.2,1.02840435915569e-06,1.2,1.02840435915569e-06,1.2,1.02840435915569e-06,1.2,1.02840435915569e-06,1.2,1.02840435915569e-06,0,1.02840435915569e-06,1.192602176844457,1.02840435915569e-06,1.2,1.02840435915569e-06,1.2
1.054619015984911e-06,1.2,1.054619015984911e-06,1.2,1.054619015984911e-06,1.2,1.054619015984911e-06,1.2,1.054619015984911e-06,1.2,1.054619015984911e-06,1.2,1.054619015984911e-06,0,1.054619015984911e-06,1.191430690200097,1.054619015984911e-06,1.2,1.054619015984911e-06,1.2
1.107048329643351e-06,1.2,1.107048329643351e-06,1.2,1.107048329643351e-06,1.2,1.107048329643351e-06,1.2,1.107048329643351e-06,1.2,1.107048329643351e-06,1.2,1.107048329643351e-06,0,1.107048329643351e-06,1.190538990760791,1.107048329643351e-06,1.2,1.107048329643351e-06,1.2
1.211906956960233e-06,1.2,1.211906956960233e-06,1.2,1.211906956960233e-06,1.2,1.211906956960233e-06,1.2,1.211906956960233e-06,1.2,1.211906956960233e-06,1.2,1.211906956960233e-06,0,1.211906956960233e-06,1.190596489632833,1.211906956960233e-06,1.2,1.211906956960233e-06,1.2
1.421624211593995e-06,1.2,1.421624211593995e-06,1.2,1.421624211593995e-06,1.2,1.421624211593995e-06,1.2,1.421624211593995e-06,1.2,1.421624211593995e-06,1.2,1.421624211593995e-06,0,1.421624211593995e-06,1.19059690291027,1.421624211593995e-06,1.2,1.421624211593995e-06,1.2
1.710812105796998e-06,1.2,1.710812105796998e-06,1.2,1.710812105796998e-06,1.2,1.710812105796998e-06,1.2,1.710812105796998e-06,1.2,1.710812105796998e-06,1.2,1.710812105796998e-06,0,1.710812105796998e-06,1.19057790625802,1.710812105796998e-06,1.2,1.710812105796998e-06,1.2
2e-06,1.2,2e-06,1.2,2e-06,1.2,2e-06,1.2,2e-06,1.2,2e-06,1.2,2e-06,0,2e-06,1.190583345520011,2e-06,1.2,2e-06,1.2
