time (s),dnl(value(getData("/VOUT" ?result "tran") "INL_d" 9e-08) value(getData("/INL_SAMPLER" ?result "tran") "INL_d" 9e-08)  ?mode "auto"  ?crossType "falling" ?delay 90n ?method "end" ?units "lsb" ?nbsamples 256)
9.337E-3,-21.94E-3
14.10E-3,15.68E-3
18.62E-3,-35.04E-3
23.47E-3,34.79E-3
28.09E-3,-14.61E-3
32.85E-3,15.98E-3
37.29E-3,-53.45E-3
42.22E-3,51.13E-3
46.83E-3,-14.69E-3
51.60E-3,15.89E-3
56.12E-3,-34.04E-3
60.97E-3,34.66E-3
65.59E-3,-14.19E-3
70.36E-3,16.31E-3
74.63E-3,-88.92E-3
79.71E-3,83.72E-3
84.33E-3,-14.58E-3
89.09E-3,15.91E-3
93.62E-3,-34.38E-3
98.47E-3,34.80E-3
103.1E-3,-14.32E-3
107.9E-3,16.28E-3
112.3E-3,-52.69E-3
117.2E-3,51.47E-3
121.8E-3,-14.35E-3
126.6E-3,16.20E-3
131.1E-3,-34.29E-3
136.0E-3,35.48E-3
140.6E-3,-13.94E-3
145.4E-3,16.55E-3
149.4E-3,-133.3E-3
154.7E-3,118.1E-3
159.3E-3,-14.63E-3
164.1E-3,15.93E-3
168.6E-3,-34.65E-3
173.4E-3,34.97E-3
178.0E-3,-14.32E-3
182.8E-3,16.27E-3
187.3E-3,-52.72E-3
192.2E-3,51.17E-3
196.8E-3,-14.25E-3
201.6E-3,16.03E-3
206.1E-3,-33.78E-3
210.9E-3,34.92E-3
215.6E-3,-13.94E-3
220.3E-3,16.52E-3
224.6E-3,-87.09E-3
229.7E-3,83.80E-3
234.3E-3,-14.35E-3
239.1E-3,16.15E-3
243.6E-3,-34.28E-3
248.5E-3,35.17E-3
253.1E-3,-13.90E-3
257.8E-3,16.42E-3
262.3E-3,-51.57E-3
267.2E-3,51.30E-3
271.8E-3,-14.07E-3
276.6E-3,16.43E-3
281.1E-3,-33.94E-3
286.0E-3,35.74E-3
290.6E-3,-13.55E-3
295.4E-3,16.75E-3
299.2E-3,-183.1E-3
304.6E-3,149.6E-3
309.2E-3,-14.49E-3
314.0E-3,15.87E-3
318.5E-3,-34.98E-3
323.3E-3,35.29E-3
328.0E-3,-14.25E-3
332.7E-3,16.23E-3
337.2E-3,-52.86E-3
342.1E-3,51.18E-3
346.7E-3,-14.35E-3
351.5E-3,16.17E-3
356.0E-3,-34.20E-3
360.9E-3,35.31E-3
365.5E-3,-13.91E-3
370.2E-3,16.53E-3
374.5E-3,-88.22E-3
379.6E-3,84.37E-3
384.2E-3,-14.27E-3
389.0E-3,16.08E-3
393.5E-3,-34.35E-3
398.4E-3,35.23E-3
403.0E-3,-13.84E-3
407.7E-3,16.38E-3
412.2E-3,-51.80E-3
417.1E-3,51.40E-3
421.7E-3,-14.08E-3
426.5E-3,16.46E-3
431.0E-3,-33.57E-3
435.9E-3,35.38E-3
440.5E-3,-13.58E-3
445.3E-3,16.82E-3
449.3E-3,-131.9E-3
