/VIN (inital_phase=120) X,/VIN (inital_phase=120) Y,/SoC (inital_phase=120) X,/SoC (inital_phase=120) Y,/COMP_OUT (inital_phase=120) X,/COMP_OUT (inital_phase=120) Y,/B_Buf<7> (inital_phase=120) X,/B_Buf<7> (inital_phase=120) Y,/B_Buf<6> (inital_phase=120) X,/B_Buf<6> (inital_phase=120) Y,/B_Buf<5> (inital_phase=120) X,/B_Buf<5> (inital_phase=120) Y,/B_Buf<2> (inital_phase=120) X,/B_Buf<2> (inital_phase=120) Y,/B_Buf<1> (inital_phase=120) X,/B_Buf<1> (inital_phase=120) Y,/B_Buf<3> (inital_phase=120) X,/B_Buf<3> (inital_phase=120) Y,/B_Buf<0> (inital_phase=120) X,/B_Buf<0> (inital_phase=120) Y,/EoC (inital_phase=120) X,/EoC (inital_phase=120) Y,/I25/DAC_OUT (inital_phase=120) X,/I25/DAC_OUT (inital_phase=120) Y,/I25/SH_OUT (inital_phase=120) X,/I25/SH_OUT (inital_phase=120) Y,/B_Buf<4> (inital_phase=120) X,/B_Buf<4> (inital_phase=120) Y
0,1.119615242270663,0,1.2,0,1.199999682121768,0,9.540330468721062e-08,0,9.540330468721062e-08,0,9.540330468049534e-08,0,9.540330468721062e-08,0,9.540330468029713e-08,0,9.540330470061781e-08,0,9.540330468029713e-08,0,0,0,9.616048461874508e-07,0,0.6350651063124952,0,9.540330468721062e-08
4.166670833333333e-13,1.119615234416674,4.166670833333333e-13,1.2,4.166670833333333e-13,1.199999682121772,4.166670833333333e-13,9.540330285001807e-08,4.166670833333333e-13,9.540330285001807e-08,4.166670833333333e-13,9.540330287353018e-08,4.166670833333333e-13,9.540330285001807e-08,4.166670833333333e-13,9.540330287333196e-08,4.166670833333333e-13,9.540330285377588e-08,4.166670833333333e-13,9.540330287333196e-08,4.166670833333333e-13,0,4.166670833333333e-13,9.616048444852478e-07,4.166670833333333e-13,0.6350651063124462,4.166670833333333e-13,9.540330285001807e-08
1e-12,1.119615223421106,1e-12,1.2,1e-12,1.199999682121778,1e-12,9.540330099315217e-08,1e-12,9.540330099315217e-08,1e-12,9.540330094389426e-08,1e-12,9.540330099315217e-08,1e-12,9.5403300943696e-08,1e-12,9.540330100251962e-08,1e-12,9.5403300943696e-08,1e-12,0,1e-12,9.616048437470673e-07,1e-12,0.6350651063123891,1e-12,9.540330099315217e-08
2.166665833333333e-12,1.11961520142997,2.166665833333333e-12,1.2,2.166665833333333e-12,1.199999682121791,2.166665833333333e-12,9.540329933239502e-08,2.166665833333333e-12,9.540329933239502e-08,2.166665833333333e-12,9.540329940973305e-08,2.166665833333333e-12,9.540329933239502e-08,2.166665833333333e-12,9.540329940953475e-08,2.166665833333333e-12,9.540329935328285e-08,2.166665833333333e-12,9.540329940953475e-08,2.166665833333333e-12,0,2.166665833333333e-12,9.616048413778308e-07,2.166665833333333e-12,0.6350651063123051,2.166665833333333e-12,9.540329933239502e-08
4.499997500000001e-12,1.119615157447688,4.499997500000001e-12,1.2,4.499997500000001e-12,1.199999682121819,4.499997500000001e-12,9.540329847001807e-08,4.499997500000001e-12,9.540329847001807e-08,4.499997500000001e-12,9.540329825908205e-08,4.499997500000001e-12,9.540329847001807e-08,4.499997500000001e-12,9.540329825888372e-08,4.499997500000001e-12,9.540329842860029e-08,4.499997500000001e-12,9.540329825888372e-08,4.499997500000001e-12,0,4.499997500000001e-12,9.616048545483061e-07,4.499997500000001e-12,0.6350651063121757,4.499997500000001e-12,9.540329847001807e-08
9.166660833333335e-12,1.119615069483091,9.166660833333335e-12,1.2,9.166660833333335e-12,1.199999682121832,9.166660833333335e-12,9.540330050976071e-08,9.166660833333335e-12,9.540330050976071e-08,9.166660833333335e-12,9.540330047009684e-08,9.166660833333335e-12,9.540330050976071e-08,9.166660833333335e-12,9.540330046989874e-08,9.166660833333335e-12,9.540330052675559e-08,9.166660833333335e-12,9.540330046989874e-08,9.166660833333335e-12,0,9.166660833333335e-12,9.616048851754003e-07,9.166660833333335e-12,0.6350651063120302,9.166660833333335e-12,9.540330050976071e-08
1.84999875e-11,1.119614893553763,1.84999875e-11,1.2,1.84999875e-11,1.199999682121931,1.84999875e-11,9.540330343698038e-08,1.84999875e-11,9.540330343698038e-08,1.84999875e-11,9.540330346745038e-08,1.84999875e-11,9.540330343698038e-08,1.84999875e-11,9.540330346725406e-08,1.84999875e-11,9.540330337496057e-08,1.84999875e-11,9.540330346725406e-08,1.84999875e-11,0,1.84999875e-11,9.616046613456565e-07,1.84999875e-11,0.6350651063118357,1.84999875e-11,9.540330343698038e-08
3.716664083333334e-11,1.119614541694571,3.716664083333334e-11,1.2,3.716664083333334e-11,1.199999682122086,3.716664083333334e-11,9.540330464915584e-08,3.716664083333334e-11,9.540330464915584e-08,3.716664083333334e-11,9.54033046565395e-08,3.716664083333334e-11,9.540330464915584e-08,3.716664083333334e-11,9.540330465635199e-08,3.716664083333334e-11,9.540330474350819e-08,3.716664083333334e-11,9.540330465635199e-08,3.716664083333334e-11,0,3.716664083333334e-11,9.616046959399582e-07,3.716664083333334e-11,0.6350651063115766,3.716664083333334e-11,9.540330464915584e-08
7.44999475e-11,1.119613837974044,7.44999475e-11,1.2,7.44999475e-11,1.199999682122032,7.44999475e-11,9.54033046716504e-08,7.44999475e-11,9.54033046716504e-08,7.44999475e-11,9.540330469066934e-08,7.44999475e-11,9.54033046716504e-08,7.44999475e-11,9.540330469052037e-08,7.44999475e-11,9.540330467413694e-08,7.44999475e-11,9.540330469052037e-08,7.44999475e-11,0,7.44999475e-11,9.616039744776498e-07,7.44999475e-11,0.6350651063113492,7.44999475e-11,9.54033046716504e-08
1.491665608333333e-10,1.119612430524411,1.491665608333333e-10,1.2,1.491665608333333e-10,1.199999682122385,1.491665608333333e-10,9.540330469925932e-08,1.491665608333333e-10,9.540330469925932e-08,1.491665608333333e-10,9.540330470625786e-08,1.491665608333333e-10,9.540330469925932e-08,1.491665608333333e-10,9.540330470626972e-08,1.491665608333333e-10,9.540330466556221e-08,1.491665608333333e-10,9.540330470626972e-08,1.491665608333333e-10,0,1.491665608333333e-10,9.61603731519428e-07,1.491665608333333e-10,0.6350651063112591,1.491665608333333e-10,9.540330469925932e-08
