/PHI_1 (pulse_width=5e-07) X,/PHI_1 (pulse_width=5e-07) Y,/VIN (pulse_width=5e-07) X,/VIN (pulse_width=5e-07) Y,/SH_OUT (pulse_width=5e-07) X,/SH_OUT (pulse_width=5e-07) Y
0,0,0,0.6,0,0.5999999969904894
4.375927673712729e-12,0,4.375927673712729e-12,0.6000082484293392,4.375927673712729e-12,0.6000000147283202
4.859373547133116e-12,0,4.859373547133116e-12,0.6000091597033417,4.859373547133116e-12,0.60000001642288
5.64019934509035e-12,0,5.64019934509035e-12,0.6000106315252958,5.64019934509035e-12,0.6000000188979222
6.489408610635944e-12,0,6.489408610635944e-12,0.6000122322470495,6.489408610635944e-12,0.600000021249472
7.527257157260071e-12,0,7.527257157260071e-12,0.6000141885454708,7.527257157260071e-12,0.6000000241053594
8.654723648043329e-12,0,8.654723648043329e-12,0.6000163137697369,8.654723648043329e-12,0.6000000273227322
1.024707969768007e-11,0,1.024707969768007e-11,0.600019315290176,1.024707969768007e-11,0.6000000321034733
1.343179179695355e-11,0,1.343179179695355e-11,0.6000253183310528,1.343179179695355e-11,0.6000000425187287
1.80394338745644e-11,0,1.80394338745644e-11,0.600034003531743,1.80394338745644e-11,0.6000000595926247
2.660505553613168e-11,0,2.660505553613168e-11,0.600050149348154,2.660505553613168e-11,0.600000097630185
3.835028221540995e-11,0,3.835028221540995e-11,0.6000722885787477,3.835028221540995e-11,0.6000001630708475
5.628016935518543e-11,0,5.628016935518543e-11,0.6001060856194007,5.628016935518543e-11,0.6000002925523887
7.866422787038115e-11,0,7.866422787038115e-11,0.6001482785747174,7.866422787038115e-11,0.6000005042865778
1.167104593852032e-10,0,1.167104593852032e-10,0.6002199940281517,1.167104593852032e-10,0.6000009915358486
1.80052078939353e-10,0,1.80052078939353e-10,0.6003393901549771,1.80052078939353e-10,0.6000021574656369
3.067353180476527e-10,0,3.067353180476527e-10,0.600578182363582,3.067353180476527e-10,0.6000058117078709
5.601017962642519e-10,0,5.601017962642519e-10,0.601055766468227,5.601017962642519e-10,0.6000183539424622
1.06683475269745e-09,0,1.06683475269745e-09,0.6020109323682105,1.06683475269745e-09,0.6000639345552484
2.080300665563848e-09,0,2.080300665563848e-09,0.6039212464585985,2.080300665563848e-09,0.6002336845950679
3.925132253735319e-09,0,3.925132253735319e-09,0.6073985124881993,3.925132253735319e-09,0.6007913885562892
6.187288083429007e-09,0,6.187288083429007e-09,0.6116620288566258,6.187288083429007e-09,0.6018677393511923
8.840967955350573e-09,0,8.840967955350573e-09,0.6166626894308301,8.840967955350573e-09,0.6036030211625981
1.188026381716428e-08,0,1.188026381716428e-08,0.6223885709841023,1.188026381716428e-08,0.6061130268296419
1.532477248825204e-08,0,1.532477248825204e-08,0.6288753577277469,1.532477248825204e-08,0.6095047858058507
1.918682055283579e-08,0,1.918682055283579e-08,0.6361444079415686,1.918682055283579e-08,0.6138542485881809
2.348195878867701e-08,0,2.348195878867701e-08,0.6442223135039026,2.348195878867701e-08,0.6192156424889768
2.827840296946097e-08,0,2.827840296946097e-08,0.6532334459428553,2.827840296946097e-08,0.6256968715504951
3.366694186368605e-08,0,3.366694186368605e-08,0.6633424358293573,3.366694186368605e-08,0.633443304765146
3.977848381170662e-08,0,3.977848381170662e-08,0.6747856662767354,3.977848381170662e-08,0.6426746001302178
4.678827680540262e-08,0,4.678827680540262e-08,0.6878765813462239,4.678827680540262e-08,0.6537082884703298
5.489761157620794e-08,0,5.489761157620794e-08,0.702967331067025,5.489761157620794e-08,0.6669508444797919
6.425639534832918e-08,0,6.425639534832918e-08,0.7202995073014968,6.425639534832918e-08,0.6827859855357168
7.521513800088467e-08,0,7.521513800088467e-08,0.7404615071654432,7.521513800088467e-08,0.7020164663711441
8.857945962047911e-08,0,8.857945962047911e-08,0.7648216695270026,8.857945962047911e-08,0.7263682318910526
1.050056057001335e-07,0,1.050056057001335e-07,0.7943604476957353,1.050056057001335e-07,0.7573244081720227
1.239994856127957e-07,0,1.239994856127957e-07,0.8278665603606641,1.239994856127957e-07,0.7937547172285884
1.441536738830679e-07,0,1.441536738830679e-07,0.8625299587367952,1.441536738830679e-07,0.8320915586830295
1.62798905264625e-07,0,1.62798905264625e-07,0.8936642000157681,1.62798905264625e-07,0.8665116211944668
1.804825519523198e-07,0,1.804825519523198e-07,0.9222636986563921,1.804825519523198e-07,0.8978728079378394
2.000705809498738e-07,0,2.000705809498738e-07,0.9527787759081917,2.000705809498738e-07,0.931016488672218
2.25916148759293e-07,0,2.25916148759293e-07,0.990980358063444,2.25916148759293e-07,0.9721243228625065
2.664271553564691e-07,0,2.664271553564691e-07,1.045584677910215,2.664271553564691e-07,1.03041957706229
3.425714727752019e-07,0,3.425714727752019e-07,1.128101939743853,3.425714727752019e-07,1.11836761731156
4.205407770666921e-07,0,4.205407770666921e-07,1.181402557616575,4.205407770666921e-07,1.176423362586159
5.230472576925616e-07,0,5.230472576925616e-07,1.198427937620295,5.230472576925616e-07,1.199178004169828
5.991755296366731e-07,0,5.991755296366731e-07,1.171112235312328,5.991755296366731e-07,1.176117926264932
6.856448188090668e-07,0,6.856448188090668e-07,1.100816075877554,6.856448188090668e-07,1.110935871366557
7.597909816458707e-07,0,7.597909816458707e-07,1.011015381565126,7.597909816458707e-07,1.026140909644984
8.357471866240958e-07,0,8.357471866240958e-07,0.8960509907351375,8.357471866240958e-07,0.9178954714378044
8.850569006012221e-07,0,8.850569006012221e-07,0.81198457173042,8.850569006012221e-07,0.8397151564287488
9.155325133512386e-07,0,9.155325133512386e-07,0.7573554208469855,9.155325133512386e-07,0.7896589865663489
9.349563644486985e-07,0,9.349563644486985e-07,0.7217529182006522,9.349563644486985e-07,0.7571362475415543
9.573933778323422e-07,0,9.573933778323422e-07,0.6800719879270677,9.573933778323422e-07,0.7184322787676023
9.744679185782885e-07,0,9.744679185782885e-07,0.6480752492938657,9.744679185782885e-07,0.6875035276826418
9.909732304514258e-07,0,9.909732304514258e-07,0.6170127792441643,9.909732304514258e-07,0.6556987002221435
1.000467662327095e-06,0,1.000467662327095e-06,0.5991184775984392,1.000467662327095e-06,0.6364395998886566
1.013116317698697e-06,0,1.013116317698697e-06,0.5752833195849014,1.013116317698697e-06,0.609826983082549
1.024108882013267e-06,0,1.024108882013267e-06,0.5545992646725159,1.024108882013267e-06,0.5860802324749603
1.035269097246032e-06,0,1.035269097246032e-06,0.5336552637974836,1.035269097246032e-06,0.5617596894881328
1.049221717753856e-06,0,1.049221717753856e-06,0.5075885660228284,1.049221717753856e-06,0.5315708728629925
