/out (vin_dc=0.6) X,/out (vin_dc=0.6) Y,/net6 (vin_dc=0.6) X,/net6 (vin_dc=0.6) Y,/net5 (vin_dc=0.6) X,/net5 (vin_dc=0.6) Y
0,0.02911551100627273,0,0.6,0,0.6
6.250000000000001e-09,0.02986667769021997,6.250000000000001e-09,0.6,6.250000000000001e-09,0.6002356194429633
9.375000000000001e-09,0.03052230136244912,9.375000000000001e-09,0.6,9.375000000000001e-09,0.6003534291530901
1.5625e-08,0.03251707935997384,1.5625e-08,0.6,1.5625e-08,0.6005890485279244
2.812500000000001e-08,0.04201368623197249,2.812500000000001e-08,0.6,2.812500000000001e-08,0.6010602869687415
4.307925237111806e-08,0.07171201341191379,4.307925237111806e-08,0.6,4.307925237111806e-08,0.6016240475701581
4.723440401506665e-08,0.08707386249203115,4.723440401506665e-08,0.6,4.723440401506665e-08,0.6017806924657501
5.554470730296383e-08,0.1475472927583519,5.554470730296383e-08,0.6,5.554470730296383e-08,0.6020939818821376
5.755016236585227e-08,0.1810010818033089,5.755016236585227e-08,0.6,5.755016236585227e-08,0.6021695852796011
5.91329176356031e-08,0.2326486879369801,5.91329176356031e-08,0.6,5.91329176356031e-08,0.6022292533466167
6.052994355990017e-08,0.3212170899018697,6.052994355990017e-08,0.6,6.052994355990017e-08,0.6022819196110127
6.187709018945762e-08,0.4406883567940456,6.187709018945762e-08,0.6,6.187709018945762e-08,0.6023327054669387
6.320877536739378e-08,0.5738335836759129,6.320877536739378e-08,0.6,6.320877536739378e-08,0.602382908427756
6.453863575288049e-08,0.7187564263171025,6.453863575288049e-08,0.6,6.453863575288049e-08,0.6024330425794014
6.552032260318044e-08,0.8228943004315061,6.552032260318044e-08,0.6,6.552032260318044e-08,0.6024700509928343
6.683422162196385e-08,0.9262948144388565,6.683422162196385e-08,0.6,6.683422162196385e-08,0.6025195833906866
6.782725162560136e-08,0.969159674237006,6.782725162560136e-08,0.6,6.782725162560136e-08,0.6025570194048476
6.922486920486932e-08,1.008552616695317,6.922486920486932e-08,0.6,6.922486920486932e-08,0.6026097078578829
7.027837132056356e-08,1.029365498088573,7.027837132056356e-08,0.6,7.027837132056356e-08,0.6026494235705415
7.179858074088251e-08,1.053348150538399,7.179858074088251e-08,0.6,7.179858074088251e-08,0.6027067335445934
7.362075185937611e-08,1.075342720096823,7.362075185937611e-08,0.6,7.362075185937611e-08,0.6027754270604905
7.669140854898345e-08,1.104372533100244,7.669140854898345e-08,0.6,7.669140854898345e-08,0.6028911867996012
7.987370834871628e-08,1.126623634045445,7.987370834871628e-08,0.6,7.987370834871628e-08,0.6030111552242569
8.535909227036419e-08,1.155269460002866,8.535909227036419e-08,0.6,8.535909227036419e-08,0.6032179465390801
9.099081395937321e-08,1.17449236194725,9.099081395937321e-08,0.6,9.099081395937321e-08,0.603430254185493
1.009702734499458e-07,1.192680579181703,1.009702734499458e-07,0.6,1.009702734499458e-07,0.6038064640975878
1.109713410110942e-07,1.198293735374091,1.109713410110942e-07,0.6,1.109713410110942e-07,0.6041834870983895
1.233672026282318e-07,1.19977834921201,1.233672026282318e-07,0.6,1.233672026282318e-07,0.6046507873963021
1.362738420825916e-07,1.199835637828874,1.362738420825916e-07,0.6,1.362738420825916e-07,0.6051373400405773
1.488668011300124e-07,1.200028857840999,1.488668011300124e-07,0.6,1.488668011300124e-07,0.6056120643519937
1.603268556106456e-07,1.199917463172561,1.603268556106456e-07,0.6,1.603268556106456e-07,0.6060440778363247
1.731247614381552e-07,1.200047262881712,1.731247614381552e-07,0.6,1.731247614381552e-07,0.6065265210335787
1.859609006125331e-07,1.199929030136288,1.859609006125331e-07,0.6,1.859609006125331e-07,0.6070104012756186
2.057328963483867e-07,1.200052690120198,2.057328963483867e-07,0.6,2.057328963483867e-07,0.6077557314724977
2.396772464201515e-07,1.199935767455508,2.396772464201515e-07,0.6,2.396772464201515e-07,0.6090352777998532
2.871486666438858e-07,1.200056345550108,2.871486666438858e-07,0.6,2.871486666438858e-07,0.6108246624089352
3.474147739666866e-07,1.199940586546805,3.474147739666866e-07,0.6,3.474147739666866e-07,0.6130961883220762
4.287867471455742e-07,1.200057642305335,4.287867471455742e-07,0.6,4.287867471455742e-07,0.6161629240821155
5.274250833088598e-07,1.199941589437615,5.274250833088598e-07,0.6,5.274250833088598e-07,0.6198798180700784
6.667187644269314e-07,1.200057593783021,6.667187644269314e-07,0.6,6.667187644269314e-07,0.62512735455388
7.970691814436833e-07,1.199941829169385,7.970691814436833e-07,0.6,7.970691814436833e-07,0.6300362406935176
9.821295548081752e-07,1.200057436172171,9.821295548081752e-07,0.6,9.821295548081752e-07,0.6370019175907583
1.211733129154461e-06,1.19994214734903,1.211733129154461e-06,0.6,1.211733129154461e-06,0.6456371428438544
1.6079396903438e-06,1.200057171739559,1.6079396903438e-06,0.6,1.6079396903438e-06,0.660514829421706
2.063523465444967e-06,1.199942213603759,2.063523465444967e-06,0.6,2.063523465444967e-06,0.677575229533533
2.709027981379118e-06,1.200057125325233,2.709027981379118e-06,0.6,2.709027981379118e-06,0.7016355115746388
3.659689699937706e-06,1.199942247935179,3.659689699937706e-06,0.6,3.659689699937706e-06,0.736754432881609
4.894689064288162e-06,1.200057101527166,4.894689064288162e-06,0.6,4.894689064288162e-06,0.7816303484621323
6.692800094353588e-06,1.199942265540196,6.692800094353588e-06,0.6,6.692800094353588e-06,0.844941687839575
8.692800094353588e-06,1.200057088850925,8.692800094353588e-06,0.6,8.692800094353588e-06,0.9116584971015493
1.069280009435359e-05,1.199942277559809,1.069280009435359e-05,0.6,1.069280009435359e-05,0.9734602656884705
1.269280009435359e-05,1.200057076783098,1.269280009435359e-05,0.6,1.269280009435359e-05,1.029372342791135
1.469280009435359e-05,1.199942289673834,1.469280009435359e-05,0.6,1.469280009435359e-05,1.07851296155338
1.669280009435359e-05,1.20005706468763,1.669280009435359e-05,0.6,1.669280009435359e-05,1.120107145062139
1.869280009435359e-05,1.199942301772049,1.869280009435359e-05,0.6,1.869280009435359e-05,1.15349892819632
2.069280009435359e-05,1.200057052600775,2.069280009435359e-05,0.6,2.069280009435359e-05,1.178161702588613
2.26928000943536e-05,1.199942313862879,2.26928000943536e-05,0.6,2.26928000943536e-05,1.193706521554023
2.46928000943536e-05,1.200057040522114,2.46928000943536e-05,0.6,2.46928000943536e-05,1.199888234011441
2.66928000943536e-05,1.199942325944051,2.66928000943536e-05,0.6,2.66928000943536e-05,1.196609350662638
2.86928000943536e-05,1.200057028452992,2.86928000943536e-05,0.6,2.86928000943536e-05,1.183921581456734
3.06928000943536e-05,1.199942338017159,3.06928000943536e-05,0.6,3.06928000943536e-05,1.162025020093413
3.26928000943536e-05,1.200057016391865,3.26928000943536e-05,0.6,3.26928000943536e-05,1.131264988425745
3.46928000943536e-05,1.199942350080784,3.46928000943536e-05,0.6,3.46928000943536e-05,1.092126590528282
3.66928000943536e-05,1.200057004339682,3.66928000943536e-05,0.6,3.66928000943536e-05,1.045227062316013
3.869280009435361e-05,1.199942362134857,3.869280009435361e-05,0.6,3.869280009435361e-05,0.9913060373652653
3.91928000943536e-05,1.200056993681967,3.91928000943536e-05,0.6,3.91928000943536e-05,0.9768260762900152
4.01928000943536e-05,1.199942378760065,4.01928000943536e-05,0.6,4.01928000943536e-05,0.9467651655877855
4.156914758612202e-05,1.200056973114712,4.156914758612202e-05,0.6,4.156914758612202e-05,0.9031781893495039
4.263950756219681e-05,1.199942398487716,4.263950756219681e-05,0.6,4.263950756219681e-05,0.8676978147208979
4.399969433626965e-05,1.200056953208851,4.399969433626965e-05,0.6,4.399969433626965e-05,0.8208854456180381
4.595577983410087e-05,1.199942413457444,4.595577983410087e-05,0.6,4.595577983410087e-05,0.7508280414720945
4.795577983410087e-05,1.200056942204999,4.795577983410087e-05,0.6,4.795577983410087e-05,0.6768535634564897
4.845577983410087e-05,1.199942454245268,4.845577983410087e-05,0.6,4.845577983410087e-05,0.6581244304138046
4.945577983410087e-05,1.200056925149173,4.945577983410087e-05,0.6,4.945577983410087e-05,0.6205126189446059
4.965436659765438e-05,1.19994264448601,4.965436659765438e-05,0.6,4.965436659765438e-05,0.6130290481112766
4.97532400646742e-05,1.200057609521069,4.97532400646742e-05,0.6,4.97532400646742e-05,0.6093022577011515
4.995098699871383e-05,1.199946543969873,4.995098699871383e-05,0.6,4.995098699871383e-05,0.6018477436966442
4.998577531453557e-05,1.200090392051459,4.998577531453557e-05,0.6,4.998577531453557e-05,0.6005362579368613
5.000223026554383e-05,1.200018831293515,5.000223026554383e-05,0.6,5.000223026554383e-05,0.5999159209700989
5.002608295018328e-05,1.195277380683196,5.002608295018328e-05,0.6,5.002608295018328e-05,0.5990166963840022
5.00434700940326e-05,1.140877866683351,5.00434700940326e-05,0.6,5.00434700940326e-05,0.5983612181007993
5.004662701406209e-05,1.115649878328699,5.004662701406209e-05,0.6,5.004662701406209e-05,0.5982422054964677
5.005294085412107e-05,1.005277523967194,5.005294085412107e-05,0.6,5.005294085412107e-05,0.5980041804999676
5.005417330319918e-05,0.9507166543354582,5.005417330319918e-05,0.6,5.005417330319918e-05,0.5979577185274075
5.005511684843022e-05,0.8693810536523739,5.005511684843022e-05,0.6,5.005511684843022e-05,0.5979221479198835
5.005627598784958e-05,0.6962542260371759,5.005627598784958e-05,0.6,5.005627598784958e-05,0.5978784496608587
5.005723910439831e-05,0.5186714273664538,5.005723910439831e-05,0.6,5.005723910439831e-05,0.5978421412532562
5.005810683070596e-05,0.366804634327206,5.005810683070596e-05,0.6,5.005810683070596e-05,0.5978094289569157
5.005884291529686e-05,0.2563626681073904,5.005884291529686e-05,0.6,5.005884291529686e-05,0.597781679408895
5.005973412706886e-05,0.1826793889770109,5.005973412706886e-05,0.6,5.005973412706886e-05,0.5977480817497524
5.006038728700518e-05,0.1582738620171054,5.006038728700518e-05,0.6,5.006038728700518e-05,0.5977234583755954
5.006120438250827e-05,0.1354369871103382,5.006120438250827e-05,0.6,5.006120438250827e-05,0.5976926548255819
5.006187151527015e-05,0.123089223374049,5.006187151527015e-05,0.6,5.006187151527015e-05,0.5976675047009795
5.006320578079391e-05,0.1019532491478383,5.006320578079391e-05,0.6,5.006320578079391e-05,0.5976172044641143
5.006437945613653e-05,0.08856135720362339,5.006437945613653e-05,0.6,5.006437945613653e-05,0.5975729583015414
5.006672680682176e-05,0.0674249135640409,5.006672680682176e-05,0.6,5.006672680682176e-05,0.597484466016233
5.006907354420324e-05,0.05238296970918131,5.006907354420324e-05,0.6,5.006907354420324e-05,0.5973959969064333
5.007376701896618e-05,0.03113635211710685,5.007376701896618e-05,0.6,5.007376701896618e-05,0.5972190588586022
5.007832811594056e-05,0.01818732502310357,5.007832811594056e-05,0.6,5.007832811594056e-05,0.5970471115171352
5.008565467667406e-05,0.006435581427420424,5.008565467667406e-05,0.6,5.008565467667406e-05,0.5967709103522472
5.009413198067404e-05,0.00154212059060779,5.009413198067404e-05,0.6,5.009413198067404e-05,0.5964513286220801
5.010560142493028e-05,0.0001772198548162714,5.010560142493028e-05,0.6,5.010560142493028e-05,0.5960189492818698
5.011792727166161e-05,7.562191083884609e-05,5.011792727166161e-05,0.6,5.011792727166161e-05,0.5955542872763007
5.013033603863917e-05,-5.982631961756442e-06,5.013033603863917e-05,0.6,5.013033603863917e-05,0.5950865020223065
5.013654042212796e-05,4.055015410466202e-05,5.013654042212796e-05,0.6,5.013654042212796e-05,0.5948526104975912
5.014894918910552e-05,-1.480743426060334e-05,5.014894918910552e-05,0.6,5.014894918910552e-05,0.5943848298304462
5.016246396334763e-05,3.172447121405144e-05,5.016246396334763e-05,0.6,5.016246396334763e-05,0.5938753592426711
5.018360791886166e-05,-1.940418214557719e-05,5.018360791886166e-05,0.6,5.018360791886166e-05,0.5930782980678131
5.021364502346016e-05,2.75082573797003e-05,5.021364502346016e-05,0.6,5.021364502346016e-05,0.5919460142536983
5.025082954429994e-05,-2.116530381003903e-05,5.025082954429994e-05,0.6,5.025082954429994e-05,0.5905443404004639
5.030623289943637e-05,2.577157558868784e-05,5.030623289943637e-05,0.6,5.030623289943637e-05,0.5884560040137454
5.038196108806773e-05,-2.150342269705576e-05,5.038196108806773e-05,0.6,5.038196108806773e-05,0.5856017884644357
5.047699126542625e-05,2.51589694457247e-05,5.047699126542625e-05,0.6,5.047699126542625e-05,0.5820205447897728
5.063106822190333e-05,-2.15746644543732e-05,5.063106822190333e-05,0.6,5.063106822190333e-05,0.5762155220568055
5.076024639208831e-05,2.491568849538477e-05,5.076024639208831e-05,0.6,5.076024639208831e-05,0.5713502843958902
5.093183472028573e-05,-2.164729216059291e-05,5.093183472028573e-05,0.6,5.093183472028573e-05,0.5648907256321045
5.115367157375256e-05,2.46990759384691e-05,5.115367157375256e-05,0.6,5.115367157375256e-05,0.5565456841313779
5.150714335271988e-05,-2.177017216775425e-05,5.150714335271988e-05,0.6,5.150714335271988e-05,0.5432669148064559
5.193444133451325e-05,2.44054762583612e-05,5.193444133451325e-05,0.6,5.193444133451325e-05,0.5272527058264168
5.252342915874418e-05,-2.187325246700081e-05,5.252342915874418e-05,0.6,5.252342915874418e-05,0.5052670388939395
5.341651617570459e-05,2.41178833571292e-05,5.341651617570459e-05,0.6,5.341651617570459e-05,0.4721873113872608
5.454693812806469e-05,-2.195288455010167e-05,5.454693812806469e-05,0.6,5.454693812806469e-05,0.4309068024306139
5.621593040158358e-05,2.3917367876978e-05,5.621593040158358e-05,0.6,5.621593040158358e-05,0.3715770907177695
5.821593040158358e-05,-2.198322573355372e-05,5.821593040158358e-05,0.6,5.821593040158358e-05,0.3038411439652722
6.021593040158358e-05,2.385843166360162e-05,6.021593040158358e-05,0.6,6.021593040158358e-05,0.2407757992891678
6.221593040158358e-05,-2.198692425995253e-05,6.221593040158358e-05,0.6,6.221593040158358e-05,0.1833756348484094
6.421593040158357e-05,2.384380453367239e-05,6.421593040158357e-05,0.6,6.421593040158357e-05,0.1325458855254235
6.621593040158356e-05,-2.20169379148586e-05,6.621593040158356e-05,0.6,6.621593040158356e-05,0.08908816683125409
