/IN (Design_Point=1) X,/IN (Design_Point=1) Y,/out (Design_Point=1) X,/out (Design_Point=1) Y,/REF (Design_Point=1) X,/REF (Design_Point=1) Y
0,0,0,9.216202796146142e-07,0,0.6
5e-09,0,5e-09,9.216202744112212e-07,5e-09,0.6
1.5e-08,0,1.5e-08,9.216202793161998e-07,1.5e-08,0.6
3.500000000000001e-08,0,3.500000000000001e-08,9.216202798666291e-07,3.500000000000001e-08,0.6
7.500000000000002e-08,0,7.500000000000002e-08,9.216202797796496e-07,7.500000000000002e-08,0.6
1.25e-07,0,1.25e-07,9.216202796281508e-07,1.25e-07,0.6
1.75e-07,0,1.75e-07,9.216202795883992e-07,1.75e-07,0.6
2.25e-07,0,2.25e-07,9.216202795952476e-07,2.25e-07,0.6
2.75e-07,0,2.75e-07,9.216202795835551e-07,2.75e-07,0.6
3.25e-07,0,3.25e-07,9.216202797123769e-07,3.25e-07,0.6
3.75e-07,0,3.75e-07,9.2162027969184e-07,3.75e-07,0.6
4.25e-07,0,4.25e-07,9.216202796815468e-07,4.25e-07,0.6
4.75e-07,0,4.75e-07,9.216202796164396e-07,4.75e-07,0.6
5.250000000000001e-07,0,5.250000000000001e-07,9.21620279655686e-07,5.250000000000001e-07,0.6
5.750000000000001e-07,0,5.750000000000001e-07,9.216202797338486e-07,5.750000000000001e-07,0.6
6.250000000000002e-07,0,6.250000000000002e-07,9.216202796736404e-07,6.250000000000002e-07,0.6
6.750000000000002e-07,0,6.750000000000002e-07,9.216202797465991e-07,6.750000000000002e-07,0.6
7.250000000000003e-07,0,7.250000000000003e-07,9.216202797751435e-07,7.250000000000003e-07,0.6
7.750000000000003e-07,0,7.750000000000003e-07,9.216202795823279e-07,7.750000000000003e-07,0.6
8.250000000000004e-07,0,8.250000000000004e-07,9.216202796644316e-07,8.250000000000004e-07,0.6
8.750000000000004e-07,0,8.750000000000004e-07,9.216202796191999e-07,8.750000000000004e-07,0.6
9.250000000000005e-07,0,9.250000000000005e-07,9.216202797182131e-07,9.250000000000005e-07,0.6
9.750000000000004e-07,0,9.750000000000004e-07,9.216202796716992e-07,9.750000000000004e-07,0.6
1.025e-06,0,1.025e-06,9.216202796391004e-07,1.025e-06,0.6
1.075e-06,0,1.075e-06,9.216202796673592e-07,1.075e-06,0.6
1.125e-06,0,1.125e-06,9.216202798030665e-07,1.125e-06,0.6
1.175e-06,0,1.175e-06,9.216202796445754e-07,1.175e-06,0.6
1.225e-06,0,1.225e-06,9.21620279688175e-07,1.225e-06,0.6
1.275e-06,0,1.275e-06,9.216202797561579e-07,1.275e-06,0.6
1.325e-06,0,1.325e-06,9.216202796711985e-07,1.325e-06,0.6
1.375e-06,0,1.375e-06,9.21620279704905e-07,1.375e-06,0.6
1.425e-06,0,1.425e-06,9.216202796798013e-07,1.425e-06,0.6
1.475e-06,0,1.475e-06,9.216202796431335e-07,1.475e-06,0.6
1.525e-06,0,1.525e-06,9.216202796418903e-07,1.525e-06,0.6
1.575e-06,0,1.575e-06,9.216202797227905e-07,1.575e-06,0.6
1.625e-06,0,1.625e-06,9.216202797083717e-07,1.625e-06,0.6
1.675e-06,0,1.675e-06,9.216202796459639e-07,1.675e-06,0.6
1.725e-06,0,1.725e-06,9.216202798068333e-07,1.725e-06,0.6
1.775e-06,0,1.775e-06,9.216202797888571e-07,1.775e-06,0.6
1.824999999999999e-06,0,1.824999999999999e-06,9.216202796396884e-07,1.824999999999999e-06,0.6
1.874999999999999e-06,0,1.874999999999999e-06,9.216202796309961e-07,1.874999999999999e-06,0.6
1.924999999999999e-06,0,1.924999999999999e-06,9.216202795852203e-07,1.924999999999999e-06,0.6
1.962499999999999e-06,0,1.962499999999999e-06,9.216202796856119e-07,1.962499999999999e-06,0.6
2e-06,0,2e-06,9.21620279612041e-07,2e-06,0.6
2.000002008495391e-06,0.002410194469338092,2.000002008495391e-06,9.284643457857936e-07,2.000002008495391e-06,0.6
2.000003428275362e-06,0.004113930434512672,2.000003428275362e-06,9.331847298126999e-07,2.000003428275362e-06,0.6
2.000006267835304e-06,0.007521402364861831,2.000006267835304e-06,9.423373458350705e-07,2.000006267835304e-06,0.6
2.000011946955188e-06,0.01433634622556015,2.000011946955188e-06,9.589786242168335e-07,2.000011946955188e-06,0.6
2.000023305194956e-06,0.02796623394695678,2.000023305194956e-06,9.88437420057832e-07,2.000023305194956e-06,0.6
2.000046021674491e-06,0.05522600938975006,2.000046021674491e-06,1.045131389214358e-06,2.000046021674491e-06,0.6
2.000090498689435e-06,0.1085984273216256,2.000090498689435e-06,1.190203689686433e-06,2.000090498689435e-06,0.6
2.000137237817908e-06,0.1646853814893696,2.000137237817908e-06,1.431178717601668e-06,2.000137237817908e-06,0.6
2.000185684536873e-06,0.2228214442480503,2.000185684536873e-06,1.800107677813832e-06,2.000185684536873e-06,0.6
2.000237601086517e-06,0.2851213038200718,2.000237601086517e-06,2.338638341002823e-06,2.000237601086517e-06,0.6
2.000292623197354e-06,0.3511478368251356,2.000292623197354e-06,3.0738315159636e-06,2.000292623197354e-06,0.6
2.00034489062895e-06,0.4138687547396667,2.00034489062895e-06,3.916898725002944e-06,2.00034489062895e-06,0.6
2.000391075808364e-06,0.4692909700374845,2.000391075808364e-06,4.726910621309476e-06,2.000391075808364e-06,0.6
2.000434211592532e-06,0.5210539110382555,2.000434211592532e-06,5.452679889009727e-06,2.000434211592532e-06,0.6
2.000470839128372e-06,0.5650069540470375,2.000470839128372e-06,5.95549696769857e-06,2.000470839128372e-06,0.6
2.000501191857874e-06,0.6014302294494747,2.000501191857874e-06,6.275483757468765e-06,2.000501191857874e-06,0.6
2.000528239684813e-06,0.6338876217759718,2.000528239684813e-06,6.53738033804961e-06,2.000528239684813e-06,0.6
2.000553867725009e-06,0.6646412700103519,2.000553867725009e-06,6.820057607674448e-06,2.000553867725009e-06,0.6
2.000579348958116e-06,0.6952187497395942,2.000579348958116e-06,7.196556984229827e-06,2.000579348958116e-06,0.6
2.000605824271246e-06,0.726989125494936,2.000605824271246e-06,7.745107848477685e-06,2.000605824271246e-06,0.6
2.000634974120905e-06,0.7619689450866632,2.000634974120905e-06,8.5626604622395e-06,2.000634974120905e-06,0.6
2.000671484555086e-06,0.8057814661030062,2.000671484555086e-06,9.834017159485144e-06,2.000671484555086e-06,0.6
2.000709380776178e-06,0.8512569314138436,2.000709380776178e-06,1.124777333156357e-05,2.000709380776178e-06,0.6
2.000748899643969e-06,0.8986795727632533,2.000748899643969e-06,1.259572546513021e-05,2.000748899643969e-06,0.6
2.000783813084276e-06,0.9405757011317937,2.000783813084276e-06,1.358063856940156e-05,2.000783813084276e-06,0.6
2.000817322647248e-06,0.9807871766975376,2.000817322647248e-06,1.432380453172183e-05,2.000817322647248e-06,0.6
2.000850288445506e-06,1.020346134607488,2.000850288445506e-06,1.487198686115574e-05,2.000850288445506e-06,0.6
2.000883321445129e-06,1.059985734155011,2.000883321445129e-06,1.525065787421089e-05,2.000883321445129e-06,0.6
2.000919286392724e-06,1.103143671269319,2.000919286392724e-06,1.547400345531237e-05,2.000919286392724e-06,0.6
2.000963773363275e-06,1.156528035930404,2.000963773363275e-06,1.548213017981948e-05,2.000963773363275e-06,0.6
2.001e-06,1.2,2.001e-06,1.527634239656211e-05,2.001e-06,0.6
2.001009431699233e-06,1.2,2.001009431699233e-06,1.523249273617125e-05,2.001009431699233e-06,0.6
2.001017809957961e-06,1.2,2.001017809957961e-06,1.52263531301213e-05,2.001017809957961e-06,0.6
2.001027104094643e-06,1.2,2.001027104094643e-06,1.525986533290662e-05,2.001027104094643e-06,0.6
2.001045692368008e-06,1.2,2.001045692368008e-06,1.541525434161633e-05,2.001045692368008e-06,0.6
2.001079823970318e-06,1.2,2.001079823970318e-06,1.580130339878462e-05,2.001079823970318e-06,0.6
2.001108323212797e-06,1.2,2.001108323212797e-06,1.60899420106347e-05,2.001108323212797e-06,0.6
2.001138501137315e-06,1.2,2.001138501137315e-06,1.626543800697146e-05,2.001138501137315e-06,0.6
2.001172227038729e-06,1.2,2.001172227038729e-06,1.625141734627048e-05,2.001172227038729e-06,0.6
2.001210037180426e-06,1.2,2.001210037180426e-06,1.596581898837141e-05,2.001210037180426e-06,0.6
2.001254076693006e-06,1.2,2.001254076693006e-06,1.531465057086758e-05,2.001254076693006e-06,0.6
2.001306010459085e-06,1.2,2.001306010459085e-06,1.420098370483403e-05,2.001306010459085e-06,0.6
2.001368029194109e-06,1.2,2.001368029194109e-06,1.253420275830061e-05,2.001368029194109e-06,0.6
2.001443482367367e-06,1.2,2.001443482367367e-06,1.022636660557562e-05,2.001443482367367e-06,0.6
2.00153776448171e-06,1.2,2.00153776448171e-06,7.181961722138437e-06,2.00153776448171e-06,0.6
2.001660401834688e-06,1.2,2.001660401834688e-06,3.267400994369407e-06,2.001660401834688e-06,0.6
2.00182858487246e-06,1.2,2.00182858487246e-06,-1.745566717681721e-06,2.00182858487246e-06,0.6
2.002018063735497e-06,1.2,2.002018063735497e-06,-6.77858367687654e-06,2.002018063735497e-06,0.6
2.002227677196773e-06,1.2,2.002227677196773e-06,-1.154493388735814e-05,2.002227677196773e-06,0.6
2.002462723320376e-06,1.2,2.002462723320376e-06,-1.611417416403354e-05,2.002462723320376e-06,0.6
2.002728738533417e-06,1.2,2.002728738533417e-06,-2.054920197421147e-05,2.002728738533417e-06,0.6
2.003035210436097e-06,1.2,2.003035210436097e-06,-2.496289415514341e-05,2.003035210436097e-06,0.6
2.003399782231584e-06,1.2,2.003399782231584e-06,-2.956658245713258e-05,2.003399782231584e-06,0.6
2.00386270625124e-06,1.2,2.00386270625124e-06,-3.485361285590474e-05,2.00386270625124e-06,0.6
2.004575967510373e-06,1.2,2.004575967510373e-06,-4.275556518359293e-05,2.004575967510373e-06,0.6
2.005502553251166e-06,1.2,2.005502553251166e-06,-5.474988640768076e-05,2.005502553251166e-06,0.6
2.00620995120418e-06,1.2,2.00620995120418e-06,-6.801803113623768e-05,2.00620995120418e-06,0.6
2.006852130914569e-06,1.2,2.006852130914569e-06,-8.56626331250787e-05,2.006852130914569e-06,0.6
2.007624150071182e-06,1.2,2.007624150071182e-06,-0.0001181336660976367,2.007624150071182e-06,0.6
2.008584028732039e-06,1.2,2.008584028732039e-06,-0.0001911013123882032,2.008584028732039e-06,0.6
2.009373070316026e-06,1.2,2.009373070316026e-06,-0.0002977039381931037,2.009373070316026e-06,0.6
2.010012042582363e-06,1.2,2.010012042582363e-06,-0.000388961965215988,2.010012042582363e-06,0.6
2.010353202217016e-06,1.2,2.010353202217016e-06,-0.0004065616237018523,2.010353202217016e-06,0.6
2.010707901822265e-06,1.2,2.010707901822265e-06,-0.0003584904515165847,2.010707901822265e-06,0.6
2.011010174024757e-06,1.2,2.011010174024757e-06,-0.0002037493263263329,2.011010174024757e-06,0.6
2.011231075322042e-06,1.2,2.011231075322042e-06,3.453492978903159e-05,2.011231075322042e-06,0.6
2.011404132013835e-06,1.2,2.011404132013835e-06,0.0003382820927203334,2.011404132013835e-06,0.6
2.011555136740346e-06,1.2,2.011555136740346e-06,0.0007353124105646759,2.011555136740346e-06,0.6
2.011679161935356e-06,1.2,2.011679161935356e-06,0.001185988745521105,2.011679161935356e-06,0.6
2.011796684547378e-06,1.2,2.011796684547378e-06,0.001747650050988848,2.011796684547378e-06,0.6
2.011908877314434e-06,1.2,2.011908877314434e-06,0.002436083226988596,2.011908877314434e-06,0.6
2.012017020783228e-06,1.2,2.012017020783228e-06,0.003270583514587653,2.012017020783228e-06,0.6
2.012123070064854e-06,1.2,2.012123070064854e-06,0.004283010274211902,2.012123070064854e-06,0.6
2.01222797066747e-06,1.2,2.01222797066747e-06,0.005506104616595046,2.01222797066747e-06,0.6
2.012332656093825e-06,1.2,2.012332656093825e-06,0.006980959495330851,2.012332656093825e-06,0.6
2.012437945908712e-06,1.2,2.012437945908712e-06,0.008757778315931783,2.012437945908712e-06,0.6
2.012544393162101e-06,1.2,2.012544393162101e-06,0.01089422076204758,2.012544393162101e-06,0.6
2.012652271416395e-06,1.2,2.012652271416395e-06,0.01345415757683931,2.012652271416395e-06,0.6
2.012761511944677e-06,1.2,2.012761511944677e-06,0.01650387292715812,2.012761511944677e-06,0.6
2.012871683761172e-06,1.2,2.012871683761172e-06,0.02010682478001354,2.012871683761172e-06,0.6
2.012982048738662e-06,1.2,2.012982048738662e-06,0.0243186894286072,2.012982048738662e-06,0.6
2.013091686571327e-06,1.2,2.013091686571327e-06,0.02918471252393623,2.013091686571327e-06,0.6
2.013199653540955e-06,1.2,2.013199653540955e-06,0.03474077834879798,2.013199653540955e-06,0.6
2.013305111549716e-06,1.2,2.013305111549716e-06,0.04101731855088258,2.013305111549716e-06,0.6
2.013407387088083e-06,1.2,2.013407387088083e-06,0.048043622343602,2.013407387088083e-06,0.6
2.01350596614158e-06,1.2,2.01350596614158e-06,0.05585053943786806,2.01350596614158e-06,0.6
2.013600458314144e-06,1.2,2.013600458314144e-06,0.06447111235171837,2.013600458314144e-06,0.6
2.013690563525877e-06,1.2,2.013690563525877e-06,0.07394009642532888,2.013690563525877e-06,0.6
2.013776062728095e-06,1.2,2.013776062728095e-06,0.08429430965591984,2.013776062728095e-06,0.6
2.013856843342494e-06,1.2,2.013856843342494e-06,0.09557671075544417,2.013856843342494e-06,0.6
2.013932961820052e-06,1.2,2.013932961820052e-06,0.1078483083307629,2.013932961820052e-06,0.6
2.014004732677771e-06,1.2,2.014004732677771e-06,0.1212127199786194,2.014004732677771e-06,0.6
2.014072811382803e-06,1.2,2.014072811382803e-06,0.1358561406151132,2.014072811382803e-06,0.6
2.014138231836412e-06,1.2,2.014138231836412e-06,0.1521003613831876,2.014138231836412e-06,0.6
2.014202457179615e-06,1.2,2.014202457179615e-06,0.1704809146502188,2.014202457179615e-06,0.6
2.01426780758244e-06,1.2,2.01426780758244e-06,0.1919793800913114,2.01426780758244e-06,0.6
2.014338868083251e-06,1.2,2.014338868083251e-06,0.2188014654556673,2.014338868083251e-06,0.6
2.014425503027602e-06,1.2,2.014425503027602e-06,0.256498803638558,2.014425503027602e-06,0.6
2.014554979408634e-06,1.2,2.014554979408634e-06,0.322981066010899,2.014554979408634e-06,0.6
2.014784899023633e-06,1.2,2.014784899023633e-06,0.4693215923549177,2.014784899023633e-06,0.6
2.014951679672683e-06,1.2,2.014951679672683e-06,0.5963489903490727,2.014951679672683e-06,0.6
