/REF (v_ref=0.1) X,/REF (v_ref=0.1) Y,/REF (v_ref=0.2) X,/REF (v_ref=0.2) Y,/REF (v_ref=0.3) X,/REF (v_ref=0.3) Y,/REF (v_ref=0.4) X,/REF (v_ref=0.4) Y,/REF (v_ref=0.5) X,/REF (v_ref=0.5) Y,/REF (v_ref=0.6) X,/REF (v_ref=0.6) Y,/REF (v_ref=0.7) X,/REF (v_ref=0.7) Y,/REF (v_ref=0.8) X,/REF (v_ref=0.8) Y,/REF (v_ref=0.9) X,/REF (v_ref=0.9) Y,/REF (v_ref=1) X,/REF (v_ref=1) Y,/REF (v_ref=1.1) X,/REF (v_ref=1.1) Y,/out (v_ref=0.1) X,/out (v_ref=0.1) Y,/out (v_ref=0.2) X,/out (v_ref=0.2) Y,/out (v_ref=0.3) X,/out (v_ref=0.3) Y,/out (v_ref=0.4) X,/out (v_ref=0.4) Y,/out (v_ref=0.5) X,/out (v_ref=0.5) Y,/out (v_ref=0.6) X,/out (v_ref=0.6) Y,/out (v_ref=0.7) X,/out (v_ref=0.7) Y,/out (v_ref=0.8) X,/out (v_ref=0.8) Y,/out (v_ref=0.9) X,/out (v_ref=0.9) Y,/out (v_ref=1) X,/out (v_ref=1) Y,/out (v_ref=1.1) X,/out (v_ref=1.1) Y,/IN (v_ref=0.1) X,/IN (v_ref=0.1) Y,/IN (v_ref=0.2) X,/IN (v_ref=0.2) Y,/IN (v_ref=0.3) X,/IN (v_ref=0.3) Y,/IN (v_ref=0.4) X,/IN (v_ref=0.4) Y,/IN (v_ref=0.5) X,/IN (v_ref=0.5) Y,/IN (v_ref=0.6) X,/IN (v_ref=0.6) Y,/IN (v_ref=0.7) X,/IN (v_ref=0.7) Y,/IN (v_ref=0.8) X,/IN (v_ref=0.8) Y,/IN (v_ref=0.9) X,/IN (v_ref=0.9) Y,/IN (v_ref=1) X,/IN (v_ref=1) Y,/IN (v_ref=1.1) X,/IN (v_ref=1.1) Y
0,0.1,0,0.2,0,0.3,0,0.4,0,0.5,0,0.6,0,0.7,0,0.8,0,0.9,0,1,0,1.1,0,1.199999682121733,0,1.199999682121178,0,1.1999996821146,0,1.19999968207388,0,1.199999681855722,0,0.02910501236426558,0,1.213978054426677e-06,0,1.052291594566195e-06,0,1.016509341026103e-06,0,1.004015502692302e-06,0,9.948907071884355e-07,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6,0,0.6
2.870331604133209e-08,0.1,2.870942084706564e-08,0.2,2.880538883882682e-08,0.3,2.978041976539144e-08,0.4,3.451409018980008e-08,0.5,6.250000000000001e-09,0.6,5.648936507518142e-08,0.7,5.648936507518142e-08,0.8,5.401055638183125e-08,0.9,5.648936507518142e-08,1,5.648936507518142e-08,1.1,2.870331604133209e-08,1.199999682141612,2.870942084706564e-08,1.199999682141179,2.880538883882682e-08,1.19999968214208,2.978041976539144e-08,1.199999682134833,3.451409018980008e-08,1.199999681842041,6.250000000000001e-09,0.02984259751268108,5.648936507518142e-08,1.197150005010738e-06,5.648936507518142e-08,1.044160236691118e-06,5.401055638183125e-08,1.010805439157427e-06,5.648936507518142e-08,9.987978221683781e-07,5.648936507518142e-08,9.898535628991112e-07,2.870331604133209e-08,0.6010820889351178,2.870942084706564e-08,0.6010823190804977,2.880538883882682e-08,0.6010859369826465,2.978041976539144e-08,0.6011226947203325,3.451409018980008e-08,0.6013011495263949,6.250000000000001e-09,0.6002356194429633,5.648936507518142e-08,0.602129594420556,5.648936507518142e-08,0.602129594420556,5.401055638183125e-08,0.6020361460975587,5.648936507518142e-08,0.602129594420556,5.648936507518142e-08,0.602129594420556
5.172640314773913e-08,0.1,5.173841543829147e-08,0.2,5.187762658814645e-08,0.3,5.373605804667314e-08,0.4,6.286959124448043e-08,0.5,7.895628471154709e-09,0.6,1.063906854396923e-07,0.7,1.063906854396923e-07,0.8,1.035112946381407e-07,0.9,1.063906854396923e-07,1,1.063906854396923e-07,1.1,5.172640314773913e-08,1.199999682102151,5.173841543829147e-08,1.19999968210182,5.187762658814645e-08,1.199999682096025,5.373605804667314e-08,1.199999682034488,6.286959124448043e-08,1.199999681563696,7.895628471154709e-09,0.03010201590245367,1.063906854396923e-07,1.201606641914972e-06,1.063906854396923e-07,1.046170175610339e-06,1.035112946381407e-07,1.011988614168298e-06,1.063906854396923e-07,9.999202513468577e-07,1.063906854396923e-07,9.908595362279919e-07,5.172640314773913e-08,0.6019500360244876,5.173841543829147e-08,0.6019504888747804,5.187762658814645e-08,0.6019557369836832,5.373605804667314e-08,0.6020257978134064,6.286959124448043e-08,0.6023701215878748,7.895628471154709e-09,0.6002976581685959,1.063906854396923e-07,0.6040108044784737,1.063906854396923e-07,0.6040108044784737,1.035112946381407e-07,0.6039022563628681,1.063906854396923e-07,0.6040108044784737,1.063906854396923e-07,0.6040108044784737
8.169711975056614e-08,0.1,8.171629491743971e-08,0.2,8.166407895838848e-08,0.3,8.439708029586278e-08,0.4,9.808727422040225e-08,0.5,1.118688541346413e-08,0.6,1.617064173982373e-07,0.7,1.617064173982373e-07,0.8,1.586279713192171e-07,0.9,1.617064173982373e-07,1,1.617064173982373e-07,1.1,8.169711975056614e-08,1.199999682125588,8.171629491743971e-08,1.199999682124914,8.166407895838848e-08,1.199999682111797,8.439708029586278e-08,1.199999682016909,9.808727422040225e-08,1.199999681501691,1.118688541346413e-08,0.03081228836722456,1.617064173982373e-07,1.210040848269602e-06,1.617064173982373e-07,1.049274374293367e-06,1.586279713192171e-07,1.014046558126809e-06,1.617064173982373e-07,1.001814669412182e-06,1.617064173982373e-07,9.927222413301124e-07,8.169711975056614e-08,0.6030798953290488,8.171629491743971e-08,0.6030806182062833,8.166407895838848e-08,0.603078649736933,8.439708029586278e-08,0.6031816800578054,9.808727422040225e-08,0.6036977797125455,1.118688541346413e-08,0.6004217356096508,1.617064173982373e-07,0.6060960834288515,1.617064173982373e-07,0.6060960834288515,1.586279713192171e-07,0.6059800346227285,1.617064173982373e-07,0.6060960834288515,1.617064173982373e-07,0.6060960834288515
1.416385529562202e-07,0.1,1.416720538757362e-07,0.2,1.273367742296582e-07,0.3,1.437421000329703e-07,0.4,1.685226401722459e-07,0.5,1.432402913944285e-08,0.6,2.711684868907572e-07,0.7,2.492120234793412e-07,0.8,2.329332160757231e-07,0.9,2.723378813153273e-07,1,2.723378813153273e-07,1.1,1.416385529562202e-07,1.199999682126829,1.416720538757362e-07,1.199999682125953,1.273367742296582e-07,1.199999682108811,1.437421000329703e-07,1.199999682020029,1.685226401722459e-07,1.199999681547121,1.432402913944285e-08,0.03181218116189753,2.711684868907572e-07,1.228264146632018e-06,2.492120234793412e-07,1.054589450670561e-06,2.329332160757231e-07,1.017040753205331e-06,2.723378813153273e-07,1.005887843306554e-06,2.723378813153273e-07,9.966169458311789e-07,1.416385529562202e-07,0.6053395771665212,1.416720538757362e-07,0.6053408400714086,1.273367742296582e-07,0.6048004320781175,1.437421000329703e-07,0.605418875835851,1.685226401722459e-07,0.6063530351432119,1.432402913944285e-08,0.6005400031036701,2.711684868907572e-07,0.6102223165192084,2.492120234793412e-07,0.6093946880253291,2.329332160757231e-07,0.608781061870814,2.723378813153273e-07,0.6102663952241048,2.723378813153273e-07,0.6102663952241048
2.615214193675282e-07,0.1,2.58334505073729e-07,0.2,1.998401912791626e-07,0.3,2.56076454491023e-07,0.4,3.093933720759331e-07,0.5,1.731384165856982e-08,0.6,4.893165954597056e-07,0.7,4.155819048488225e-07,0.8,3.815437055887351e-07,0.9,4.156469040673812e-07,1,4.936008091495072e-07,1.1,2.615214193675282e-07,1.19999968212214,2.58334505073729e-07,1.199999682121064,1.998401912791626e-07,1.199999682104704,2.56076454491023e-07,1.199999682028566,3.093933720759331e-07,1.199999681621212,1.731384165856982e-08,0.03312469061488312,4.893165954597056e-07,1.268999777361181e-06,4.155819048488225e-07,1.065320452229712e-06,3.815437055887351e-07,1.02322486078738e-06,4.156469040673812e-07,1.011339210374494e-06,4.936008091495072e-07,1.004744047514154e-06,2.615214193675282e-07,0.6098586815727223,2.58334505073729e-07,0.6097385537569276,1.998401912791626e-07,0.607533599758472,2.56076454491023e-07,0.6096534383714567,3.093933720759331e-07,0.6116631207145747,1.731384165856982e-08,0.6006527163243779,4.893165954597056e-07,0.6184438951037029,4.155819048488225e-07,0.6156652884047237,3.815437055887351e-07,0.61438248111305,4.156469040673812e-07,0.6156677379820742,4.936008091495072e-07,0.6186053291576694
4.628877354560385e-07,0.1,3.560105264800148e-07,0.2,2.763314661466765e-07,0.3,4.526859887650261e-07,0.4,5.254723258345256e-07,0.5,2.066307543323082e-08,0.6,7.875328376813215e-07,0.7,6.979048138746963e-07,0.8,5.022723162288586e-07,0.9,7.022649495714892e-07,1,9.361266648178671e-07,1.1,4.628877354560385e-07,1.199999682122292,3.560105264800148e-07,1.199999682121158,2.763314661466765e-07,1.199999682106055,4.526859887650261e-07,1.199999682040277,5.254723258345256e-07,1.199999681702687,2.066307543323082e-08,0.03508739754920753,7.875328376813215e-07,1.335922664047072e-06,6.979048138746963e-07,1.085608106393119e-06,5.022723162288586e-07,1.028458260649411e-06,7.022649495714892e-07,1.022882192484452e-06,9.361266648178671e-07,1.022462277156832e-06,4.628877354560385e-07,0.6174479964352485,3.560105264800148e-07,0.6134201614304555,2.763314661466765e-07,0.6104169274596373,4.526859887650261e-07,0.6170635587383821,5.254723258345256e-07,0.619806241117703,2.066307543323082e-08,0.6007789793729404,7.875328376813215e-07,0.6296771743916623,6.979048138746963e-07,0.6263019604915393,5.022723162288586e-07,0.6189320772879914,7.022649495714892e-07,0.6264661747360999,9.361266648178671e-07,0.6352707983381057
6.480045738228579e-07,0.1,4.561438158058044e-07,0.2,3.815581667657704e-07,0.3,7.170335313344029e-07,0.4,7.820806555188042e-07,0.5,2.417851956230293e-08,0.6,1.125232826358113e-06,0.7,1.10860777485657e-06,0.8,6.391203963923029e-07,0.9,1.053010836295164e-06,1,1.489401324305907e-06,1.1,6.480045738228579e-07,1.199999682122361,4.561438158058044e-07,1.199999682121231,3.815581667657704e-07,1.199999682107862,7.170335313344029e-07,1.199999682053043,7.820806555188042e-07,1.199999681778094,2.417851956230293e-08,0.03779868740485964,1.125232826358113e-06,1.432547623122739e-06,1.10860777485657e-06,1.120733971267715e-06,6.391203963923029e-07,1.034635005944431e-06,1.053010836295164e-06,1.038243126848744e-06,1.489401324305907e-06,1.047557129952557e-06,6.480045738228579e-07,0.6244224479283412,4.561438158058044e-07,0.6171938626164779,3.815581667657704e-07,0.6143830261299239,7.170335313344029e-07,0.627022383762335,7.820806555188042e-07,0.6294718818113862,2.417851956230293e-08,0.6009115083625658,1.125232826358113e-06,0.6423849469822577,1.10860777485657e-06,0.6417597400649249,6.391203963923029e-07,0.6240877961132326,1.053010836295164e-06,0.6396686169893054,1.489401324305907e-06,0.6560671881042573
8.391250879507799e-07,0.1,5.686906086961472e-07,0.2,5.518509161679666e-07,0.3,1.034930339329353e-06,0.4,1.0690639682962e-06,0.5,2.769944517499996e-08,0.6,1.494498773235276e-06,0.7,1.565078572053801e-06,0.8,8.215930359587879e-07,0.9,1.36329901584422e-06,1,2.029144221067534e-06,1.1,8.391250879507799e-07,1.199999682122357,5.686906086961472e-07,1.199999682121292,5.518509161679666e-07,1.199999682109882,1.034930339329353e-06,1.199999682066081,1.0690639682962e-06,1.199999681843113,2.769944517499996e-08,0.04129851661694107,1.494498773235276e-06,1.57528779391394e-06,1.565078572053801e-06,1.169864361728167e-06,8.215930359587879e-07,1.04330048175425e-06,1.36329901584422e-06,1.053043155413352e-06,2.029144221067534e-06,1.0755025903079e-06,8.391250879507799e-07,0.6316196164339491,5.686906086961472e-07,0.6214345690213369,5.518509161679666e-07,0.6208001209189592,1.034930339329353e-06,0.6389884642070075,1.0690639682962e-06,0.640272461405161,2.769944517499996e-08,0.601044243954471,1.494498773235276e-06,0.6562585136692617,1.565078572053801e-06,0.6589070252095751,8.215930359587879e-07,0.6309595730247392,1.36329901584422e-06,0.6513323340156156,2.029144221067534e-06,0.6762898610309267
1.045041565363115e-06,0.1,6.966560380872548e-07,0.2,8.537701704692072e-07,0.3,1.416669639570415e-06,0.4,1.385214613362029e-06,0.5,3.109404436869693e-08,0.6,1.891434622848467e-06,0.7,2.032867763111853e-06,0.8,1.115764638795634e-06,0.9,1.650592595949601e-06,1,2.552636405434096e-06,1.1,1.045041565363115e-06,1.199999682122356,6.966560380872548e-07,1.199999682121384,8.537701704692072e-07,1.199999682112744,1.416669639570415e-06,1.199999682078961,1.385214613362029e-06,1.199999681898416,3.109404436869693e-08,0.04555672447208975,1.891434622848467e-06,1.798992859804088e-06,2.032867763111853e-06,1.235494452029198e-06,1.115764638795634e-06,1.058393893830939e-06,1.650592595949601e-06,1.067840336259185e-06,2.552636405434096e-06,1.106234996176228e-06,1.045041565363115e-06,0.6393688349276223,6.966560380872548e-07,0.626254927927709,8.537701704692072e-07,0.6321709423788546,1.416669639570415e-06,0.653336689751994,1.385214613362029e-06,0.6521554544309633,3.109404436869693e-08,0.6011722171105971,1.891434622848467e-06,0.671137676870331,2.032867763111853e-06,0.676429093826482,1.115764638795634e-06,0.6420288889674766,1.650592595949601e-06,0.662114387498698,2.552636405434096e-06,0.6958200772810966
