/I10/I_bot (vbias_current=0.8) X,/I10/I_bot (vbias_current=0.8) Y,/I10/I_bot (vbias_current=0.85) X,/I10/I_bot (vbias_current=0.85) Y,/I10/I_bot (vbias_current=0.9) X,/I10/I_bot (vbias_current=0.9) Y,/I10/I_bot (vbias_current=0.95) X,/I10/I_bot (vbias_current=0.95) Y,/I10/I_bot (vbias_current=1) X,/I10/I_bot (vbias_current=1) Y,/I10/I_bot (vbias_current=1.05) X,/I10/I_bot (vbias_current=1.05) Y,/I10/I_bot (vbias_current=1.1) X,/I10/I_bot (vbias_current=1.1) Y,/I10/I_bot (vbias_current=1.15) X,/I10/I_bot (vbias_current=1.15) Y,/I10/I_bot (vbias_current=1.2) X,/I10/I_bot (vbias_current=1.2) Y
0,-1.762987135806453e-05,0,-1.910641115390159e-05,0,-1.98052920175967e-05,0,-2.018608566716054e-05,0,-2.041781433713519e-05,0,-2.057133559269387e-05,0,-2.067974342358676e-05,0,-2.076003772633009e-05,0,-2.082170044151712e-05
1e-09,-1.762987943917571e-05,1e-09,-1.91064234489973e-05,1e-09,-1.98053047073322e-05,1e-09,-2.018609937310482e-05,1e-09,-2.04178283310209e-05,1e-09,-2.057134832901387e-05,1e-09,-2.067975834179859e-05,1e-09,-2.076005283343075e-05,1e-09,-2.082171494207747e-05
3e-09,-1.762998770337074e-05,3e-09,-1.910653769751892e-05,3e-09,-1.980542145575684e-05,3e-09,-2.018621995151596e-05,3e-09,-2.041795099387613e-05,3e-09,-2.057147135270893e-05,3e-09,-2.067988536505367e-05,3e-09,-2.076018092702091e-05,3e-09,-2.082184420827348e-05
7.000000000000001e-09,-1.763030853155971e-05,7.000000000000001e-09,-1.910686038402508e-05,7.000000000000001e-09,-1.980574876117204e-05,7.000000000000001e-09,-2.018655193471484e-05,7.000000000000001e-09,-2.041828679937474e-05,7.000000000000001e-09,-2.057181058908911e-05,7.000000000000001e-09,-2.068022667769483e-05,7.000000000000001e-09,-2.076052425565003e-05,7.000000000000001e-09,-2.082218962694242e-05
1.5e-08,-1.763120311598413e-05,1.5e-08,-1.910770353535379e-05,1.5e-08,-1.98065822849632e-05,1.5e-08,-2.018738242552595e-05,1.5e-08,-2.041911927778962e-05,1.5e-08,-2.057264843190082e-05,1.5e-08,-2.068106184663662e-05,1.5e-08,-2.0761361728265e-05,1.5e-08,-2.08230292770567e-05
3.1e-08,-1.7633060288488e-05,3.1e-08,-1.91093681064668e-05,3.1e-08,-1.980818701699878e-05,3.1e-08,-2.018896574373202e-05,3.1e-08,-2.042069580114383e-05,3.1e-08,-2.057422387301268e-05,3.1e-08,-2.068263640211592e-05,3.1e-08,-2.076293735450118e-05,3.1e-08,-2.082460601446821e-05
5.1e-08,-1.763489600883328e-05,5.1e-08,-1.91109994838569e-05,5.1e-08,-1.980975461671212e-05,5.1e-08,-2.019051274693913e-05,5.1e-08,-2.042223587570748e-05,5.1e-08,-2.05757615504045e-05,5.1e-08,-2.068417588206283e-05,5.1e-08,-2.076447792197968e-05,5.1e-08,-2.082614793390833e-05
7.1e-08,-1.763612459662792e-05,7.1e-08,-1.911209142615535e-05,7.1e-08,-1.981080466027137e-05,7.1e-08,-2.019154927355625e-05,7.1e-08,-2.042326804134223e-05,7.1e-08,-2.057679256761312e-05,7.1e-08,-2.068520770031417e-05,7.1e-08,-2.076551055264208e-05,7.1e-08,-2.082718153853308e-05
9.100000000000001e-08,-1.763708466033746e-05,9.100000000000001e-08,-1.911295785366175e-05,9.100000000000001e-08,-1.981164250942364e-05,9.100000000000001e-08,-2.019237767712711e-05,9.100000000000001e-08,-2.042409383839889e-05,9.100000000000001e-08,-2.057761837315336e-05,9.100000000000001e-08,-2.068603364232048e-05,9.100000000000001e-08,-2.07663373777362e-05,9.100000000000001e-08,-2.082800929273106e-05
1.11e-07,-1.76375077357034e-05,1.11e-07,-1.911331284125497e-05,1.11e-07,-1.981197296508407e-05,1.11e-07,-2.019269781769125e-05,1.11e-07,-2.042440891669961e-05,1.11e-07,-2.057793054959018e-05,1.11e-07,-2.068634446817175e-05,1.11e-07,-2.076664714887637e-05,1.11e-07,-2.082831832622035e-05
1.31e-07,-1.763775194492318e-05,1.31e-07,-1.911350998375024e-05,1.31e-07,-1.98121538574009e-05,1.31e-07,-2.019287183882243e-05,1.31e-07,-2.042457951215951e-05,1.31e-07,-2.057809919673334e-05,1.31e-07,-2.06865120167882e-05,1.31e-07,-2.076681392525362e-05,1.31e-07,-2.082848456591739e-05
1.51e-07,-1.763736353796635e-05,1.51e-07,-1.91131085998581e-05,1.51e-07,-1.981174379704988e-05,1.51e-07,-2.01924547625637e-05,1.51e-07,-2.042415691168744e-05,1.51e-07,-2.057767229372129e-05,1.51e-07,-2.068608156915074e-05,1.51e-07,-2.076638069389025e-05,1.51e-07,-2.082804906046976e-05
1.71e-07,-1.763684258170649e-05,1.71e-07,-1.911260987946657e-05,1.71e-07,-1.981124995167852e-05,1.71e-07,-2.019196043128772e-05,1.71e-07,-2.042366064695711e-05,1.71e-07,-2.057717388643881e-05,1.71e-07,-2.068558126014087e-05,1.71e-07,-2.076587869307454e-05,1.71e-07,-2.082754561331905e-05
1.91e-07,-1.763585868435483e-05,1.91e-07,-1.911168048341995e-05,1.91e-07,-1.981033385307777e-05,1.91e-07,-2.019104533014823e-05,1.91e-07,-2.042274302172468e-05,1.91e-07,-2.057625297937729e-05,1.91e-07,-2.068465722250567e-05,1.91e-07,-2.07649518347454e-05,1.91e-07,-2.082661630296611e-05
2.11e-07,-1.763483173579403e-05,2.11e-07,-1.911073629435082e-05,2.11e-07,-1.980941423814542e-05,2.11e-07,-2.019013243583276e-05,2.11e-07,-2.042183100389634e-05,2.11e-07,-2.057533992973595e-05,2.11e-07,-2.068374259727991e-05,2.11e-07,-2.076403557228071e-05,2.11e-07,-2.082569850881203e-05
2.31e-07,-1.763369120968433e-05,2.31e-07,-1.910970591086902e-05,2.31e-07,-1.980841807547503e-05,2.31e-07,-2.018914729908262e-05,2.31e-07,-2.042084900162297e-05,2.31e-07,-2.057435822970977e-05,2.31e-07,-2.06827601836754e-05,2.31e-07,-2.076305211451186e-05,2.31e-07,-2.082471395077253e-05
2.51e-07,-1.76326245419194e-05,2.51e-07,-1.910875094339818e-05,2.51e-07,-1.980749802532197e-05,2.51e-07,-2.018823897951703e-05,2.51e-07,-2.041994444935579e-05,2.51e-07,-2.057345451258767e-05,2.51e-07,-2.068185620207262e-05,2.51e-07,-2.076214745749129e-05,2.51e-07,-2.082380849724338e-05
2.71e-07,-1.763180464900983e-05,2.71e-07,-1.91080454903586e-05,2.71e-07,-1.980683062083643e-05,2.71e-07,-2.018758643726717e-05,2.71e-07,-2.041929837285866e-05,2.71e-07,-2.057281148074184e-05,2.71e-07,-2.068121469677472e-05,2.71e-07,-2.076150673704799e-05,2.71e-07,-2.082316818441904e-05
2.91e-07,-1.763106718281105e-05,2.91e-07,-1.91074011031567e-05,2.91e-07,-1.980621567150232e-05,2.91e-07,-2.018698216763047e-05,2.91e-07,-2.041869822637841e-05,2.91e-07,-2.057221291761659e-05,2.91e-07,-2.068061666259135e-05,2.91e-07,-2.076090876675639e-05,2.91e-07,-2.082257007388484e-05
